Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Reelin Signaling in Neurons	3.89	0.14	0.243	"APOE,ARHGEF6,CAMK2B,CNR1,DAB1,FGR,GRIN2A,GRIN2B,GRIN2C,ITGA2,ITGA3,ITGA5,ITGB3,MAP2K6,MAPK10,MAPT,PIK3C2G,RELN"
Granulocyte Adhesion and Diapedesis	3.75	0.122	#NUM!	"CCL20,CCL28,CLDN11,CX3CL1,CXCL12,CXCL14,HRH1,IL1B,ITGA2,ITGA3,ITGA5,ITGB3,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,NGFR,SDC1,SDC3,SELP"
Wnt/_-catenin Signaling	3.57	0.121	-0.688	"CCND1,CDH3,DKK2,DKK3,FRZB,FZD1,GJA1,GNAO1,LRP1,MDM2,MMP7,SFRP1,SFRP2,SFRP4,SMO,SOX11,SOX2,SOX4,TCF7L1,WIF1,WNT5A"
White Adipose Tissue Browning Pathway	3.41	0.132	1.698	"ADCY3,ADCY5,BMP7,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CAMP,DIO2,FGFR1,GUCY1A1,NPR1,PRKACB,PRKAG3,RUNX1T1,RXRG,THRB"
G-Protein Coupled Receptor Signaling	3.32	0.103	#NUM!	"ADCY3,ADCY5,ADORA1,ADORA2B,ADORA3,ADRB1,CAMK2B,CNR1,DUSP4,DUSP9,GDPD1,GNA14,GNAO1,HCAR2,HRH1,HTR4,NPR3,NPY1R,PDE2A,PDE3A,PDE4D,PIK3C2G,PLCB4,PRKACB,PTH1R,RAP1GAP,RAPGEF4,RXFP4"
IL-15 Production	3.26	0.132	3	"BMX,DDR2,EPHA3,EPHB3,FES,FGFR1,FGR,KIT,MAP2K6,MERTK,NTRK2,NTRK3,PTK7,ROR1,TEC,TEK"
Leukocyte Extravasation Signaling	3.2	0.112	2.4	"ARHGAP8/PRR5-ARHGAP8,BMX,CLDN11,CXCL12,EDIL3,ITGA2,ITGA3,ITGA5,ITGB3,MAPK10,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,PIK3C2G,RAP1GAP,RAPGEF4,TEC,TIMP2,TIMP3"
Glutamate Receptor Signaling	3.19	0.175	-0.816	"CALML5,DLG4,GNG2,GRIK1,GRIK3,GRIN2A,GRIN2B,GRIN2C,SLC1A3,SLC1A7"
Agrin Interactions at Neuromuscular Junction	3.12	0.152	3	"ARHGEF6,ITGA2,ITGA3,ITGA5,ITGB3,LAMA2,LAMB1,LAMC1,MAPK10,NRG1,NRG2,PAK6"
Cardiac Hypertrophy Signaling (Enhanced)	3	0.0862	1.897	"ADCY3,ADCY5,ADRB1,CALML5,CAMK2B,EIF2B3,FGF1,FGF10,FGF2,FGF7,FGFR1,FZD1,GDPD1,GNA14,GNG2,HDAC9,HSPB1,HSPB7,IL12RB2,IL17RD,IL17RE,IL1B,ITGA2,ITGA3,ITGA5,MAP2K6,MAP3K6,MAPK10,NGFR,NPR1,PDE2A,PDE3A,PDE4D,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB,SMO,TNFSF15,TNFSF8,WNT5A"
Ephrin Receptor Signaling	2.94	0.111	0	"CXCL12,DOK1,EFNB3,EPHA3,EPHA7,EPHB3,FGF1,GNA14,GNAO1,GNG2,GRIN2A,GRIN2B,GRIN2C,ITGA2,ITGA3,ITGA5,PAK6,PGF,PIK3C2G,PTPN13"
Aryl Hydrocarbon Receptor Signaling	2.9	0.119	-1	"ALDH1A2,ALDH1A3,ALDH4A1,BAX,CCND1,CCND2,CHEK1,FAS,GSTA1,GSTM5,HSPB1,HSPB7,IL1B,MDM2,MGST1,RXRG,TGM2"
Corticotropin Releasing Hormone Signaling	2.83	0.117	2	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,CNR1,GLI1,GNAO1,GUCY1A1,NPR1,NPR3,POMC,PRKACB,PTCH2,SMO"
Bladder Cancer Signaling	2.81	0.134	2.236	"CCND1,FGF1,FGF10,FGF2,FGF7,MDM2,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,PGF"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	2.69	0.125	0.535	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,GNA14,GNG2,PLCB4,PLCD3,PLCH2,PRKACB,RAPGEF4,TAS1R3"
Tec Kinase Signaling	2.64	0.11	2.84	"BMX,FAS,FGR,GNA14,GNAO1,GNG2,ITGA2,ITGA3,ITGA5,MAPK10,PAK6,PIK3C2G,RHOJ,RHOV,RND3,TEC,TNFRSF10A,TNFRSF21"
Molecular Mechanisms of Cancer	2.6	0.087	#NUM!	"ADCY3,ADCY5,ARHGEF6,BAX,BBC3,BMP2,BMP7,CAMK2B,CCND1,CCND2,CHEK1,FAS,FZD1,GLI1,GNA14,GNAO1,ITGA2,ITGA3,ITGA5,LRP1,MAP2K6,MAPK10,MDM2,NOTCH1,PAK6,PIK3C2G,PLCB4,PRKACB,PTCH2,RHOJ,RHOV,RND3,SMO,WNT5A"
CREB Signaling in Neurons	2.56	0.101	-1.069	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,CAMK2B,GNA14,GNAO1,GNG2,GRIK1,GRIK3,GRIN2A,GRIN2B,GRIN2C,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB"
Neuroprotective Role of THOP1 in Alzheimer's Disease	2.51	0.12	3.051	"C1R,CMA1,ENDOU,FAP,GZMK,KLK10,KLK7,MAPT,MASP1,PRKACB,PRSS12,PRSS23,TMPRSS11D,TPSAB1/TPSB2"
LPS/IL-1 Mediated Inhibition of RXR Function	2.48	0.0982	0	"ABCB1,ABCC2,ALAS1,ALDH1A2,ALDH1A3,ALDH4A1,APOE,CHST3,CHST7,FABP7,FMO1,FMO3,GSTA1,GSTM5,HS6ST1,IL1B,LBP,MGST1,NGFR,PAPSS2,PLTP,SOD3"
Colorectal Cancer Metastasis Signaling	2.46	0.0949	2.711	"ADCY3,ADCY5,BAX,CCND1,FZD1,GNG2,LRP1,MAPK10,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,PGF,PIK3C2G,PRKACB,RHOJ,RHOV,RND3,SMO,TCF7L1,TLR6,WNT5A"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	2.43	0.0897	#NUM!	"CALML5,CAMK2B,CCND1,CXCL12,DKK2,DKK3,FGF2,FRZB,FZD1,GNAO1,IL1B,IRAK3,LRP1,MAP2K6,NGFR,PGF,PIK3C2G,PLCB4,PLCD3,PLCH2,SFRP1,SFRP2,SFRP4,SMO,TCF7L1,TLR6,WIF1,WNT5A"
Estrogen Receptor Signaling	2.4	0.0884	2.646	"ADCY3,ADCY5,CAV1,CCND1,DLG4,EIF2B3,FOXA1,GNA14,GNAO1,GNG2,IGF2,LEPR,MDK,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,NOTCH1,PGF,PGR,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB,PRKAG3,SHC3"
CDK5 Signaling	2.39	0.12	0.905	"ADCY3,ADCY5,ITGA2,ITGA3,LAMA1,LAMB1,LAMC1,MAPK10,MAPT,NGFR,NTRK2,PPP1R14C,PRKACB"
GNRH Signaling	2.39	0.104	1.387	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,CAMK2B,GNA14,GNG2,GNRHR,MAP2K6,MAP3K6,MAPK10,MMP2,PAK6,PLCB4,PRKACB"
Estrogen Biosynthesis	2.31	0.171	1.89	"AKR1C3,CYP2S1,CYP4B1,CYP4F8,CYP4X1,HSD17B14,HSD17B2"
Leptin Signaling in Obesity	2.31	0.135	0	"ADCY3,ADCY5,LEPR,PDE3A,PIK3C2G,PLCB4,PLCD3,PLCH2,POMC,PRKACB"
Opioid Signaling Pathway	2.28	0.0931	-0.853	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,CAMK2B,FGR,GNAO1,GNG2,GRIN2A,GRIN2B,GRIN2C,KCNJ5,MAP2K6,PIK3C2G,POMC,PRKACB,RGS11,RGS13,RGS6,SCN7A"
Ethanol Degradation II	2.25	0.188	0.816	"ACSS3,ADH1C,ADHFE1,ALDH1A2,ALDH1A3,ALDH4A1"
Ethanol Degradation IV	2.23	0.217	1.342	"ACSS3,ALDH1A2,ALDH1A3,ALDH4A1,CYGB"
Agranulocyte Adhesion and Diapedesis	2.23	0.0984	#NUM!	"AOC3,CCL20,CCL28,CLDN11,CX3CL1,CXCL12,CXCL14,HRH1,IL1B,ITGA2,ITGA3,ITGA5,MMP11,MMP14,MMP16,MMP2,MMP28,MMP7,SELP"
Atherosclerosis Signaling	2.22	0.111	#NUM!	"ALOX12,ALOX15B,APOD,APOE,CMA1,COL18A1,CXCL12,F3,IL1B,PLA2G4A,PLA2G4C,PLAAT3,SELP,TPSAB1/TPSB2"
RhoGDI Signaling	2.21	0.1	-2.84	"ARHGAP8/PRR5-ARHGAP8,ARHGEF6,CDH13,CDH15,CDH17,CDH19,CDH24,CDH3,GNA14,GNAO1,GNG2,ITGA2,ITGA3,ITGA5,PAK6,RHOJ,RHOV,RND3"
Eicosanoid Signaling	2.15	0.136	#NUM!	"AKR1C3,ALOX12,ALOX15B,DPEP1,PLA2G4A,PLA2G4C,PLAAT3,PTGDS,PTGES"
Retinoate Biosynthesis I	2.12	0.176	2.449	"ADH1C,AKR1C3,ALDH1A2,ALDH1A3,BMP2,RDH5"
Thyronamine and Iodothyronamine Metabolism	2.11	0.667	#NUM!	"DIO2,DIO3"
Thyroid Hormone Metabolism I (via Deiodination)	2.11	0.667	#NUM!	"DIO2,DIO3"
Signaling by Rho Family GTPases	2.05	0.0902	3.441	"ARHGEF6,CDH13,CDH15,CDH17,CDH19,CDH24,CDH3,CIT,GFAP,GNA14,GNAO1,GNG2,ITGA2,ITGA3,ITGA5,MAPK10,PAK6,PIK3C2G,RHOJ,RHOV,RND3,SEPTIN5"
G_s Signaling	2.01	0.112	0.905	"ADCY3,ADCY5,ADORA2B,ADRB1,CNGA1,CNR1,GNG2,HCAR2,HTR4,PRKACB,PTH1R,RAPGEF4"
Protein Kinase A Signaling	1.99	0.0804	-0.6	"ADCY3,ADCY5,AKAP12,AKAP3,CALML5,CAMK2B,CDKN3,CNGA1,DUSP4,DUSP9,EYA1,GDPD1,GNG2,NGFR,PDE2A,PDE3A,PDE4D,PLCB4,PLCD3,PLCH2,PPP1R14C,PRKACB,PTCH2,PTPN13,PTPRM,PTPRZ1,PYGL,SFN,SMO,TCF7L1,TNNI2,TTN"
nNOS Signaling in Neurons	1.98	0.149	-1.342	"CALML5,CAPN5,CAPN6,DLG4,GRIN2A,GRIN2B,GRIN2C"
Human Embryonic Stem Cell Pluripotency	1.97	0.104	#NUM!	"BMP2,BMP7,FGF2,FGFR1,FZD1,INHBA,NTRK2,NTRK3,PIK3C2G,SMO,SOX2,SPHK1,TCF7L1,WNT5A"
Regulation of the Epithelial-Mesenchymal Transition Pathway	1.93	0.0938	#NUM!	"FGF1,FGF10,FGF2,FGF7,FGFR1,FZD1,JAG1,JAG2,LOX,MAP2K6,MMP2,NOTCH1,PARD6G,PIK3C2G,SMO,SNAI2,TCF7L1,WNT5A"
TR/RXR Activation	1.93	0.119	#NUM!	"ADRB1,AKR1C1/AKR1C2,AKR1C3,DIO2,DIO3,MDM2,PIK3C2G,RXRG,SYT12,THRB"
Semaphorin Signaling in Neurons	1.91	0.133	#NUM!	"DPYSL2,FES,NRP1,PAK6,PLXNB1,RHOJ,RHOV,RND3"
Prostanoid Biosynthesis	1.89	0.3	#NUM!	"CYP2S1,PTGDS,PTGES"
Caveolar-mediated Endocytosis Signaling	1.88	0.123	#NUM!	"CAV1,CAVIN1,ITGA10,ITGA2,ITGA3,ITGA5,ITGA7,ITGB3,ITGB6"
G_i Signaling	1.87	0.104	1.732	"ADCY3,ADCY5,ADORA1,ADORA3,CAV1,CNR1,GNG2,HCAR2,NPR3,NPY1R,PRKACB,RAP1GAP,RXFP4"
Myc Mediated Apoptosis Signaling	1.84	0.14	0.378	"ADRB1,BAX,BBC3,FAS,MDM2,NGFR,PRKACB"
Glioma Invasiveness Signaling	1.84	0.122	1	"F2R,ITGB3,MMP2,PIK3C2G,RHOJ,RHOV,RND3,TIMP2,TIMP3"
Oxidative Ethanol Degradation III	1.82	0.211	1	"ACSS3,ALDH1A2,ALDH1A3,ALDH4A1"
Gap Junction Signaling	1.81	0.0909	#NUM!	"ADCY3,ADCY5,ADRB1,CAV1,CCN3,GJA1,GJB3,GRIK1,GRIK3,GUCY1A1,NPR1,NPR3,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB,TUBA1A"
Neuropathic Pain Signaling In Dorsal Horn Neurons	1.8	0.109	-1.508	"CAMK2B,GRIN2A,GRIN2B,GRIN2C,KCNH2,NTRK2,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB"
_-glutamyl Cycle	1.77	0.273	#NUM!	"ANPEP,GCLM,GGT5"
Endocannabinoid Cancer Inhibition Pathway	1.76	0.0979	-1.387	"ADCY3,ADCY5,CCND1,CCND2,CNR1,GNAO1,MAP2K6,MMP2,PGF,PIK3C2G,PRKACB,PRKAG3,SNAI2,TCF7L1"
Hepatic Fibrosis Signaling Pathway	1.75	0.0788	3.024	"CALML5,CCND1,CNR1,COL18A1,FGF2,FGFR1,FZD1,GLI1,IL1B,IRAK3,ITGA2,ITGA3,ITGA5,ITGB3,LEPR,MAP2K6,MAPK10,NGFR,PGF,PIK3C2G,PRKACB,PTCH2,RHOJ,RHOV,RND3,SMO,TCF7L1,TTN,WNT5A"
Inflammasome pathway	1.74	0.2	0	"CTSB,IL1B,NLRP3,PYCARD"
Cellular Effects of Sildenafil (Viagra)	1.72	0.0992	#NUM!	"ADCY3,ADCY5,CALML5,GUCY1A1,KCNH2,PDE2A,PDE3A,PDE4D,PLCB4,PLCD3,PLCH2,PRKACB,SLC4A11"
BEX2 Signaling Pathway	1.67	0.114	1.667	"BBC3,CCND1,ITGB6,LGALS1,MAPK10,MMP2,NGFR,PGF,TCF7L1"
Dopamine-DARPP32 Feedback in cAMP Signaling	1.63	0.092	-0.577	"ADCY3,ADCY5,CALML5,GRIN2A,GRIN2B,GRIN2C,GUCY1A1,KCNJ10,KCNJ15,KCNJ5,PLCB4,PLCD3,PLCH2,PPP1R14C,PRKACB"
Tetrapyrrole Biosynthesis II	1.61	0.4	#NUM!	"ALAS1,ALAS2"
Relaxin Signaling	1.6	0.0933	1.414	"ADCY3,ADCY5,GDPD1,GNA14,GNAO1,GNG2,GUCY1A1,NPR1,NPR3,PDE2A,PDE3A,PDE4D,PIK3C2G,PRKACB"
Paxillin Signaling	1.6	0.102	1.89	"ARHGEF6,ITGA10,ITGA2,ITGA3,ITGA5,ITGA7,ITGB3,ITGB6,MAPK10,PAK6,PIK3C2G"
G Beta Gamma Signaling	1.6	0.0984	1.155	"ARHGEF6,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CAV1,CAV2,GNA14,GNAO1,GNG2,KCNJ5,PRKACB"
Cardiac Hypertrophy Signaling	1.58	0.0833	1.606	"ADCY3,ADCY5,ADRB1,CALML5,EIF2B3,GNA14,GNAO1,GNG2,HSPB1,MAP2K6,MAP3K6,MAPK10,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB,RHOJ,RHOV,RND3"
"Bile Acid Biosynthesis, Neutral Pathway"	1.57	0.231	#NUM!	"AKR1C1/AKR1C2,AKR1C3,AMACR"
Amyotrophic Lateral Sclerosis Signaling	1.53	0.103	0	"BAX,CAPN5,CAPN6,GRIK1,GRIK3,GRIN2A,GRIN2B,GRIN2C,PGF,PIK3C2G"
Integrin Signaling	1.52	0.0845	3	"CAPN5,CAPN6,CAV1,GSN,ITGA10,ITGA2,ITGA3,ITGA5,ITGA7,ITGB3,ITGB6,PAK6,PIK3C2G,RHOJ,RHOV,RND3,TSPAN1,TTN"
Phagosome Formation	1.52	0.096	#NUM!	"ITGA2,ITGA3,ITGA5,MRC2,PIK3C2G,PLCB4,PLCD3,PLCH2,RHOJ,RHOV,RND3,TLR6"
Cardiac _-adrenergic Signaling	1.48	0.0922	-1.265	"ADCY3,ADCY5,ADRB1,AKAP12,AKAP3,GDPD1,GNG2,PDE2A,PDE3A,PDE4D,PKIB,PPP1R14C,PRKACB"
Melatonin Signaling	1.48	0.111	0.707	"CALML5,CAMK2B,GNAO1,MAP2K6,PLCB4,PLCD3,PLCH2,PRKACB"
Basal Cell Carcinoma Signaling	1.48	0.111	1	"BMP2,BMP7,FZD1,GLI1,PTCH2,SMO,TCF7L1,WNT5A"
Noradrenaline and Adrenaline Degradation	1.47	0.143	1.342	"ADH1C,ADHFE1,ALDH1A2,ALDH1A3,ALDH4A1"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.45	0.11	0	"ADCY3,ADCY5,ADRB1,GNA14,PLCB4,PLCD3,PLCH2,PRKACB"
Aldosterone Signaling in Epithelial Cells	1.44	0.0886	0	"DNAJB1,DNAJB7,DNAJC12,HSPA12A,HSPB1,HSPB7,HSPH1,PIK3C2G,PLCB4,PLCD3,PLCH2,SLC12A1,SLC12A2,SMO"
Interferon Signaling	1.43	0.139	2.236	"BAX,IFI6,IFIT3,ISG15,MX1"
Endocannabinoid Developing Neuron Pathway	1.43	0.0957	0.632	"ADCY3,ADCY5,CCND1,CNR1,GNAO1,GNG2,MAP2K6,MAPK10,PIK3C2G,PRKACB,RAP1GAP"
Xenobiotic Metabolism CAR Signaling Pathway	1.41	0.0847	2.5	"ABCB1,ABCC1,ABCC2,ALDH1A2,ALDH1A3,ALDH4A1,CHST3,CHST7,FMO1,FMO3,GSTA1,GSTM5,HS6ST1,MAP2K6,MGST1,SOD3"
Bupropion Degradation	1.41	0.16	1	"CYP2S1,CYP4B1,CYP4F8,CYP4X1"
Fc_RIIB Signaling in B Lymphocytes	1.39	0.107	0	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,DOK1,INPP5D,MAPK10,PIK3C2G"
Calcium Signaling	1.38	0.0825	-1.941	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,CAMK2B,CASQ2,GRIK1,GRIN2A,GRIN2B,GRIN2C,HDAC9,PRKACB,TNNI2,TNNT3,TP63,TRDN"
Wnt/Ca+ pathway	1.38	0.113	1.134	"FZD1,PLCB4,PLCD3,PLCH2,ROR1,SMO,WNT5A"
Neuroinflammation Signaling Pathway	1.38	0.0767	0.447	"CX3CL1,CXCL12,FAS,FZD1,GABRB3,GABRP,GRIN2A,GRIN2B,GRIN2C,IL1B,IRAK3,KCNJ5,MAPK10,MAPT,MFGE8,NLRP3,PIK3C2G,PLA2G4A,PLA2G4C,PYCARD,S100B,SLC1A3,TLR6"
IL-1 Signaling	1.33	0.0989	1	"ADCY3,ADCY5,GNA14,GNAO1,GNG2,IRAK3,MAP2K6,MAPK10,PRKACB"
Extrinsic Prothrombin Activation Pathway	1.32	0.188	#NUM!	"F3,F5,TFPI"
Androgen Biosynthesis	1.32	0.188	#NUM!	"AKR1C3,GSTA1,HSD17B14"
Factors Promoting Cardiogenesis in Vertebrates	1.3	0.0867	1.732	"BMP2,BMP7,CAMK2B,CCND1,FZD1,LRP1,MAPK10,PLCB4,PLCD3,PLCH2,SMO,TCF7L1,WNT5A"
Regulation of Cellular Mechanics by Calpain Protease	1.29	0.108	1.633	"CAPN5,CAPN6,CCND1,CNGA1,ITGA2,ITGA3,ITGA5"
Histamine Degradation	1.26	0.176	#NUM!	"ALDH1A2,ALDH1A3,ALDH4A1"
Role of NFAT in Cardiac Hypertrophy	1.25	0.0794	0.5	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5,CAMK2B,GNG2,HDAC9,MAP2K6,MAPK10,PIK3C2G,PLCB4,PLCD3,PLCH2,PRKACB"
Gustation Pathway	1.23	0.0844	#NUM!	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,GDPD1,GNG2,PDE2A,PDE3A,PDE4D,PRKACB,TAS1R3"
Ovarian Cancer Signaling	1.23	0.0863	0	"CCND1,FZD1,GJA1,MMP2,MMP7,PGF,PIK3C2G,PRKACB,RAD51,SMO,TCF7L1,WNT5A"
GABA Receptor Signaling	1.23	0.0947	#NUM!	"ADCY3,ADCY5,CACNA2D1,CACNA2D3,CACNB1,CACNB2,GABRB3,GABRP,KCNH2"
nNOS Signaling in Skeletal Muscle Cells	1.22	0.122	#NUM!	"CACNA2D1,CACNA2D3,CACNB1,CACNB2,CALML5"
Superoxide Radicals Degradation	1.21	0.25	#NUM!	"CYGB,SOD3"
Sonic Hedgehog Signaling	1.21	0.138	1	"GLI1,PRKACB,PTCH2,SMO"
Germ Cell-Sertoli Cell Junction Signaling	1.2	0.0819	#NUM!	"A2M,GSN,ITGA2,ITGA3,LAMC3,MAP2K6,MAP3K6,MAPK10,PAK6,PIK3C2G,RHOJ,RHOV,RND3,TUBA1A"
Apelin Adipocyte Signaling Pathway	1.2	0.0976	1.134	"ADCY3,ADCY5,GPX3,GSTA1,MAPK10,MGST1,PRKACB,PRKAG3"
FXR/RXR Activation	1.19	0.0873	#NUM!	"ABCC2,APOD,APOE,FOXA1,IL1B,MAPK10,PLTP,SAA1,SAA2,SDC1,SERPINF1"
PAK Signaling	1.18	0.0928	2.333	"ARHGEF6,EPHA3,EPHB3,ITGA2,ITGA3,ITGA5,MAPK10,PAK6,PIK3C2G"
Necroptosis Signaling Pathway	1.18	0.0828	3.051	"CAMK2B,CAPN5,CAPN6,FAS,MDM2,MERTK,NGFR,NLRP3,PLA2G4A,PLA2G4C,PYCARD,PYGL,TNFRSF10A"
Acetone Degradation I (to Methylglyoxal)	1.16	0.133	1	"CYP2S1,CYP4B1,CYP4F8,CYP4X1"
