Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
TGFB2	1.474	growth factor	Activated	3.179	bias	1.92E-09	"ASPN,CD248,CDH11,CYP24A1,EGR2,FMOD,FN1,FURIN,ID4,JAG1,MIA,MMP2,MMP9,MUC4,NGF,NOTCH1,PDGFRB,PDK4,SNAI2,SPP1,TGFB2,TIMP2,VCAN,VDR"	407 (21)
ITGB3	1.404	transmembrane receptor	 	1.279	 	0.00801	"CDK1,FN1,ITGA3,ITGB3,MMP2,MMP9,SELP,SNAI2,SPARC"	369 (22)
SFRP1	1.4	transmembrane receptor	 	-0.113	bias	0.00105	"CDH1,EPCAM,FN1,MMP2,MMP9,SFRP1,SOX9,TGFB2,TTYH1"	342 (22)
CX3CL1	1.374	cytokine	 	-0.485	 	0.000000122	"ALDH1A2,APOD,ASPA,BMP7,CRABP2,CX3CL1,CXCL12,FABP7,HEY2,MFGE8,MMP2,MMP9,OLFM4,PLP1,POSTN,PROM1,SDK2,SELP,SERPINF1,SPP1,TFAP2C,TGFB2,TGFB3"	370 (22)
TBX2	1.369	transcription regulator	Inhibited	-2.132	 	0.0123	"BUB1,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,CHEK1,E2F7,TGFB2"	 
CLEC11A	1.363	growth factor	 	 	 	0.018	"ANXA1,BIRC5,CCR5,CPA3,CXCL12,EGR2,PMP22"	 
IGF2	1.36	growth factor	 	0.307	bias	0.0000344	"BIRC5,CDK1,CDKN1A,CORO2B,CTSV,CYP1B1,EGR2,FABP7,FN1,H19,IGF2,IGFBP2,IGFBP4,MMP11,MMP12,MYBL2,NGF,OGN,PRDM16,SEZ6L2,SPP1,THBS2"	377 (20)
SNAI1	1.334	transcription regulator	 	-0.792	 	0.000000632	"CDH1,CDKN1A,CLCA2,CLDN1,CXADR,CYP19A1,EPCAM,ESPN,FN1,GDF15,GLI2,ID4,ITGA2,L1CAM,MMP9,NES,SDC1,SMAD6,SNAI1,SNAI2,SPARC,THY1,TP63,VDR"	415 (19)
TBX18	1.324	transcription regulator	 	 	 	0.0494	SNAI2	 
TFAP2B	1.317	transcription regulator	 	 	 	0.029	"IGF2,KIT,MMP2"	 
TWIST2	1.301	transcription regulator	Activated	2.262	 	0.000447	"CDH1,CDKN1A,FN1,H19,MMP9,POSTN,SNAI1,SNAI2"	325 (14)
SNAI2	1.298	transcription regulator	 	0.32	 	1.09E-09	"CDH1,CDKN1A,CLDN1,CXCL12,DSP,EGR2,EPCAM,FN1,ID4,ITGA3,L1CAM,MMP9,NES,SNAI2,SOX9,TP63,TWIST2,VDR"	302 (18)
NRG1	1.293	growth factor	Activated	2.191	bias	0.00403	"CDH1,CDKN1A,COL6A3,DUSP4,EGR2,EGR3,ETV5,FGF1,FN1,GATA2,GPX3,GRIN2C,IGF2,ITGB3,L1CAM,MMP9,MNX1,NOTCH1,NRG3,NTRK1,PMP22,SNAI1,TGFB2,VIP"	395 (19)
CDKN1A	1.282	kinase	 	1.087	bias	0.0076	"ASPN,BIRC5,BUB1,CCNA2,CCNB1,CDK1,CDKN1A,CHEK1,CIT,CPA3,E2F7,EDNRA,FAT2,FN1,ITGB3,JAG1,KRT5,MMP9,MYBL2,PLK2,SAA1,SOX9,TP63"	353 (19)
MSTN	1.278	growth factor	 	1.158	 	0.0455	"CDKN1A,CTSV,FBXO32,FN1,H4C3,IGF2"	 
LIF	1.278	cytokine	 	0.731	 	0.0231	"A2M,BMP7,C16orf89,CCNA2,CDH1,CDKN1A,CYP19A1,FN1,GPT,LBP,MT-ND5,MT-ND6,PAPPA2,RGS4,SFRP4,SPP1,TFCP2L1,VIP"	 
IL17B	1.273	cytokine	 	 	 	0.0137	"CDKN1A,MMP9"	 
PGF	1.272	growth factor	 	-0.841	bias	0.000141	"BIRC5,CCL20,CCL28,CDK1,DCN,DNM3OS,KIT,MMP9,NANOS1"	271 (11)
SOX9	1.26	transcription regulator	Activated	3.508	bias	0.00000105	"ACAN,CDKN1A,COMP,CYP26B1,GAS7,GDF10,H19,KIT,KRT15,LBP,MIA,PHEX,SNAI2,SOX9,TWIST2"	239 (7)
IL13RA2	1.258	transmembrane receptor	 	 	 	0.0486	"IL13RA2,MMP12,MMP9"	 
DKK1	1.254	growth factor	 	-0.104	bias	0.00157	"AXIN2,BIRC5,CDKN1A,DLG4,EPCAM,MMP9,SNAI2,SOX9,SPARC,TTYH1"	316 (16)
HIC1	1.252	transcription regulator	 	-1.648	 	0.0000012	"ADORA2B,CA12,CCN3,CDKN1A,CXCL14,CYP24A1,ID4,LCN2,MCAM,MMP12,PLPPR4,SNAP25,SOX9,SPP1"	254 (7)
GATA2	1.244	transcription regulator	Activated	2.624	 	0.00000072	"ABCA13,BPIFB1,CALCB,CAMP,CCN3,CDKN1A,CEL,CLEC4F,CMA1,CPA3,CX3CL1,CXCL12,EDNRA,F2RL2,FCER1A,GABRP,GATA2,GPX3,HDC,IGFBP7,IL1RL1,ITGA2,KIT,KLF2,LCN2,LTF,MDK,MMP2,MMRN1,MPIG6B,NRXN2,OLFM4,PLK2,RAB44,RGS13,RXRG,SELP,SERPINB2,SLC18A2,SSTR2,TACSTD2,TMEM40,TPSAB1/TPSB2,UGT2B7,ZMAT3"	260 (7)
FGF7	1.218	growth factor	Activated	2.138	bias	0.0252	"CDKN1A,ETV5,FGF1,FGFR1,HAS3,MMP2,MMP9,SDC1"	 
NTF4	1.218	growth factor	 	1.091	bias	0.00667	"DLG4,NTRK2,SPARC,SPP1"	 
JAG2	1.218	growth factor	Activated	2.607	bias	0.00269	"BMP7,CCL20,CXCL9,JAG1,MMP12,NOTCH1,SPP1"	99 (6)
NOTCH1	1.21	transcription regulator	 	0.397	 	0.0035	"CDH1,CDKN1A,ESM1,FABP7,GATA2,GATD3A/GATD3B,GLI2,HEY2,IGFBP2,IGFBP4,JAG1,LOX,MCAM,MMP2,NGFR,NOTCH1,PDGFRB,SLC5A5,SNAI1,SPP1,TFF3,TGFB2,TGFB3,TP63"	433 (23)
GLI2	1.184	transcription regulator	 	0.784	bias	0.00000111	"BNC1,CCL22,CCR5,CDH1,CDK1,CDKN1A,GLI2,IL1RL1,JAG1,JAG2,MEOX1,MMP9,PAX9,PI3,SFRP1,SNAI1,SOX9,SPP1,VDR"	289 (12)
TFAP2A	1.181	transcription regulator	Activated	2.204	 	0.0127	"ANXA1,BIRC5,CCN5,CDH1,CDKN1A,COL7A1,IGF2,KRT5,MMP2,MMP9,PITX2"	 
FGF1	1.16	growth factor	 	-0.338	 	0.00000361	"ADGRE1,AXIN2,CCN4,CCN5,CDH1,CDH11,CDKN1A,CPXM1,DIO3,FGFR1,FZD1,MAB21L1,NOTCH1,POSTN,SLC7A2,SNAI2,SPP1,SSTR2,TGFB2,TGFB3"	391 (24)
ROR1	1.156	kinase	 	0.392	bias	0.0193	"CDH1,ETV5,KRT19,SNAI1,SNAI2"	 
TGFB3	1.156	growth factor	Activated	2.462	bias	0.00000342	"ACAN,ASPN,CCN3,CDH1,CDH6,CDKN1A,CLDN11,CYP19A1,ELN,FN1,HTRA1,ITGB3,LTBP2,MMP2,MMP9,SNAI1,SNAI2,SOX9,TGFB3"	372 (19)
TP73	1.153	transcription regulator	Activated	2.566	 	1.49E-10	"ADAM23,ADORA2B,BIRC5,BMP7,CCN5,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,CLDN10,COL18A1,COL5A2,CX3CL1,ECM1,FGFR3,FN1,GATA2,H2BC11,HIC1,IGFBP4,IGSF3,JAG1,JAG2,KIT,LZTS1,MDK,MMP2,MPZL2,NCAM1,NOTCH1,NRP1,NTRK1,P2RY2,PDGFRB,PLCD3,PLK2,PMP22,PTGES,SERPINA5,SERPINF1,SERPING1,SLC4A3,SNAI1,SNAI2,SPP1,TGFB2,THBS2,THY1,TP53AIP1,TP73,VDR,ZMAT3"	365 (20)
FGF10	1.151	growth factor	 	1.153	bias	0.00531	"ANXA1,CYP19A1,CYP1B1,MMP9,SNAI1,SOX9,TACSTD2,TSPAN8"	155 (8)
PTH1R	1.146	G-protein coupled receptor	 	-1.91	 	0.0169	"CDK1,GLI2,KL,PHEX,SPP1"	 
ID4	1.142	transcription regulator	 	 	 	0.029	"CDH1,CDKN1A,MMP2"	 
TSHZ3	1.137	transcription regulator	 	1.555	 	0.00531	"ACVR1C,BHLHE22,COL23A1,FGF10,FMOD,GDF10,NGFR,PODN"	 
FGFR3	1.136	kinase	 	0	 	0.00196	"CDH1,CDKN1A,MMP9,SNAI1,SOX9,SPARC,SPP1"	391 (23)
EHF	1.133	transcription regulator	 	0.036	 	0.000000193	"ANPEP,CCL20,CDH3,CDK1,CRABP2,EHF,FCER1A,GATA2,H4C8,JAG1,KIT,KLK5,KLK6,KLK7,PLAT,SAA1,SAA2,SCEL,THY1"	 
SMAD6	1.129	transcription regulator	 	 	 	0.00838	"PROM1,SOX9,SPP1,TGFB3"	354 (18)
TEAD4	1.128	transcription regulator	 	1.866	bias	0.0001	"BBOX1,CDKN1A,COL5A2,EDNRA,FGFR1,FIBIN,FJX1,IL13RA2,LOXL1,NRXN2,PLK2,POSTN,SNAI1,TFAP2C,TP63"	 
BHLHE22	1.117	transcription regulator	 	 	 	0.00706	"BHLHE22,CDH11"	 
ETV4	1.101	transcription regulator	 	-0.108	bias	0.000302	"CDH1,ETV4,FN1,KRT5,MMP7,MMP9,MUC4,SPP1"	253 (7)
JAG1	1.097	growth factor	Activated	2.365	bias	0.00000985	"CDKN1A,CYP19A1,GATA2,GLI2,HEY2,ITGB3,MMP9,PDGFRB,SNAI1,SNAI2,SPP1,TGFB3"	392 (20)
ZBTB7C	1.091	transcription regulator	 	 	 	0.0494	CDKN1A	 
FOSL1	1.078	transcription regulator	 	-0.276	 	0.0134	"EGR2,ELN,MMP2,MMP9,SEMA6D,SERPINB2,SNAI1,SNAI2,SPARC"	 
CCN3	1.068	growth factor	 	-1.715	 	0.0212	"ALPL,ITGA2,MMP2,MMP9"	 
FGFR1	1.056	kinase	 	-0.356	bias	0.000862	"BIRC5,BMP7,CDKN1A,DCX,DDX25,FGF1,FGF10,FGF7,FGFR1,FGFR3,NOTCH1,PLP1,SPARC"	398 (23)
EGR1	1.048	transcription regulator	 	1.152	bias	0.0252	"CDH1,CDKN1A,DLG4,DUSP4,EGR2,FN1,GDF15,IGF2,MMP9,PCSK2,PTGES,SLC12A2,SNAI1,SNAI2,SPP1,TP73"	 
GLI1	0.989	transcription regulator	Activated	2.94	bias	5.22E-09	"BNC1,CDH1,CDH11,CDKN1A,EGR3,ELAVL2,FGF1,FGF10,FHL1,GLI2,GPC3,HEY2,IGF2,IGFBP7,JAG2,KRT15,KRT19,LZTS1,MMP11,MMP2,MMP9,MNX1,NES,PLXDC1,PSTPIP2,PTH1R,SCD5,SFRP1,SNAI1,SOX6,SOX9,SPP1,TNFRSF9"	389 (20)
INHBA	0.986	growth factor	Activated	2.85	bias	0.0152	"AKR1C3,CDH1,CDKN1A,CYP19A1,EDAR,EGLN3,FN1,FSTL3,FURIN,IRX1,LOX,MMP2,PCSK5,SERPINB2,SERPINB5,SMAD6,TPSAB1/TPSB2"	 
DDR1	0.98	kinase	 	-0.243	bias	0.00109	"CDH1,CDKN1A,ELN,MMP2,MMP9"	249 (17)
DDR2	0.971	kinase	 	 	 	0.0147	"MMP2,MMP7,SNAI1"	 
ITGA5	0.961	transmembrane receptor	 	 	 	0.0327	"CDKN1A,IGF2,IGFBP2,MMP2,MMP9,SELP"	 
CCND1	0.959	transcription regulator	 	1.155	 	0.0259	"BIRC5,CCNA2,CDH1,CDKN1A,COL20A1,COL5A2,DKK2,E2F7,FGF7,FGFR1,H4C8,HSPB1,ITGB3,ITGB6,MMP2,NOTCH1,NT5E,ROR2,SLC9B2,SPC25,SPP1,ST6GALNAC1,ST6GALNAC5,TGFB3,TM7SF2"	 
CXCR4	0.922	G-protein coupled receptor	 	1.452	bias	0.00899	"CDH1,CDH11,CDKN1A,CXCL12,DLX5,IGFBP7,MMP2,TNFRSF10C"	337 (20)
ARNT2	0.919	transcription regulator	Activated	3.838	bias	0.000605	"ABCG1,AQP4,CDH3,CPXM2,GATA2,GPX3,IGFBP4,ITGB3,KRT5,LAMA2,LAMB3,LHX8,LTF,PKIB,PLP1,POSTN,SERPINA5,SYT7,TCF7L1,TNFRSF9,USP2,WNT7B"	 
KLF5	0.911	transcription regulator	 	-0.825	bias	0.000000775	"BIRC5,CCNA2,CCNB1,CDH1,CDK1,CDKN1A,CGREF1,GPSM1,KRT5,LAMA1,MMP9,NOTCH1,PTGES,SORCS2"	348 (22)
SHOX2	0.91	transcription regulator	 	 	 	0.032	"FGF10,HTRA1"	 
ID1	0.893	transcription regulator	 	0.955	 	0.00246	"CDKN1A,FGFR3,FN1,IGF2,MMP2,MMP9,NOTCH1,PROM1,SLC5A5,SNAI1"	405 (21)
BMP2	0.889	growth factor	Activated	3.135	bias	0.000000164	"ACAN,ALDH1A2,ALPL,ATP2C2,CDH1,CDKN1A,CXCL12,CYP19A1,DLX5,FGFR1,FN1,FZD1,ID4,KLK7,L1CAM,MMP9,NOTCH1,PITX2,POSTN,PTH1R,RGS6,SMAD6,SOSTDC1,SOX6,SOX9,SPARC,SPP1,TBX2,VCAN,VDR"	402 (22)
SRC	0.88	kinase	 	-0.65	bias	0.00776	"ABCG1,CDH1,CDK1,CDKN1A,CTSV,FMN2,FN1,MMP2,MMP9,POSTN,PTH1R,SPP1,SYNPO"	395 (23)
ZEB1	0.868	transcription regulator	 	-0.99	 	0.0000249	"CDH1,CXADR,FN1,GRHL2,KIT,KRT19,LAMC2,LOX,MMP9,MPZL2,PTPRZ1,TP63,TP73,XDH"	335 (14)
TGFB1	0.862	growth factor	Activated	5.543	 	1.18E-22	"ABCG1,ACAN,ADAMTS3,ADGRA1,ADGRB1,ADORA1,ADORA2B,AGR2,ANPEP,ANXA8/ANXA8L1,ASPN,BGN,BIRC5,BMP7,BUB1,C1S,CALCB,CALML3,CAMP,CCL18,CCL20,CCN3,CCN4,CCN5,CCNA2,CCNB1,CCR5,CDH1,CDH11,CDH19,CDK1,CDKN1A,CFB,CFH,CFI,CHST3,CLCA2,CLDN1,CMTM5,COL16A1,COL18A1,COL4A6,COL6A3,COL7A1,COL8A1,COMP,CPXM1,CTPS1,CX3CL1,CX3CR1,CXADR,CXCL12,CYP19A1,DCN,DKK3,DLX5,DSP,DUSP4,ECM1,EDNRA,EGR2,EGR3,ELN,EMILIN1,EPCAM,ESM1,FCER1A,FERMT1,FGF10,FGF7,FGFR1,FHL1,FN1,FSTL3,FTH1,FURIN,FZD1,GALM,GAS7,GATD3A/GATD3B,GDF15,GLDN,GLI2,GNA14,GNAO1,GPR83,GPT,GRHL2,GRIN2A,GRIN2C,HAS3,HSPB1,HTRA1,ID4,IFI27,IGF2,IGFBP2,IGFBP4,IGFBP7,IL13RA2,IL1RL1,ITGA2,ITGA3,ITGA7,ITGB3,ITGB6,JAG1,JAG2,KIT,KLF15,KLF2,KRT19,KRT81,L1CAM,LAMB3,LAMC2,LCN2,LOX,LOXL1,LTBP2,MBOAT2,MFAP4,MID1,MMP11,MMP12,MMP2,MMP7,MMP9,MPV17L,MST1R,MSTN,MUC4,MYBL2,MYOCD,NCAM1,NCAPG,NEGR1,NGF,NOTCH1,NOX4,NRP1,NT5E,PAPPA,PDGFRB,PLAT,PLK2,POSTN,PROM1,PRSS22,PTGES,PTH1R,RIN1,ROR1,SDC1,SELP,SEMA3B,SERPINB5,SERPINF1,SFRP1,SLC5A5,SMAD6,SNAI1,SNAI2,SOD3,SOX9,SPARC,SPC25,SPOCK1,SPP1,SSTR2,SUSD5,SVEP1,TBX2,TENM4,TFAP2A,TGFB2,TGFB3,THBS2,THBS4,THY1,TIMP2,TP73,TPSAB1/TPSB2,TSIX,TWIST2,VCAN,VDR,VIP,XDH"	448 (22)
SMO	0.859	G-protein coupled receptor	 	 	 	0.000067	"BGN,DIO3,EPCAM,GLI2,KRT5,LGR5,LUM,NCAM1,NRCAM,OGN,SOX9,TGFB3,VCAN,WNT7B"	259 (13)
MAP2K6	0.857	kinase	 	0.475	bias	0.00448	"BGN,CDKN1A,CXCL9,IL13RA2,MMP2,MMP9,PLA2G2A,PTH1R,SNAI1,VDR"	340 (19)
WNT3A	0.848	cytokine	Activated	3.508	bias	1.89E-13	"ACAN,ADGRF1,ALPL,AXIN2,BGN,CACNA1G,CCN4,CCN5,CDK15,CLEC11A,CXCL12,CYP24A1,DCN,DKK2,ECRG4,EGR2,EPHA5,ETV5,FMOD,FN1,FOXQ1,FZD1,HAS3,HEY2,JAG1,KIT,LCN2,LGR5,MAB21L1,MRGPRF,NCAM1,NGFR,OGN,PITX2,PMP2,PMP22,PNPLA3,PTH1R,SFRP2,SLC7A2,SOX9,SPARC,SSTR2,TFCP2L1,TGFB2,TGFB3,THY1,WNT7B"	385 (22)
MDM2	0.844	transcription regulator	 	0.434	 	0.0145	"BIRC5,CCNA2,CDKN1A,IL13RA2,NKX3-1,SNAI2,TP53AIP1,TP63,TP73"	 
KLF4	0.844	transcription regulator	Activated	3.419	bias	0.00000143	"ADGRE1,ALPL,CCN3,CCNB1,CDH1,CDKN1A,COL8A1,CRABP2,DSP,DUSP4,EPCAM,FN1,FRZB,HEY2,HSPB1,IER5,IRF6,KRT19,LAMA1,LGR5,MYOCD,NOTCH1,NRP1,PITX2,PLAT,PROM1,S100A14,SERPINB2,SNAI2,SOD3,TGFB2,TGFB3,TWIST2"	421 (27)
HGF	0.838	growth factor	Activated	3.759	bias	0.0000392	"A2M,ABCC6,ANGPT4,BIRC5,BNC1,BUB1,CDH1,CDK1,CDKN1A,CHRNB2,CRLF1,DOK5,DSG1,DUSP4,EHF,EPCAM,ESM1,FGF7,FN1,IGFBP4,IRX5,ITGA2,KRT19,L1CAM,LAMC2,LCN2,MID1,MMP2,MMP9,NES,NID2,NRCAM,NRP1,PGF,PMP22,RIN1,SERPINB2,SFRP1,SNAI1,SPP1,TACSTD2,TGFB2,TNFRSF10C,TNFSF15,TP63,VDR"	440 (23)
LRP1	0.833	transmembrane receptor	Inhibited	-2.547	 	0.0000208	"ADGRE1,C1S,CDH1,GLI2,GLI3,MMP2,MMP9,MRC2,PDGFRB,SERPINF1,SERPING1"	375 (19)
EFNA5	0.821	kinase	 	-1.155	 	0.00000125	"CRABP2,DSG1,DUSP4,ETV5,FOXD3,ITGB6,KLK7,NT5E,NTM,PKP1,PLAT,SOX9"	 
PDGFA	0.805	growth factor	Activated	2.236	bias	0.0000594	"ELN,FGF10,FGF7,NES,PROM1"	 
RUNX2	0.804	transcription regulator	 	1.247	bias	0.00000318	"ALPL,AXIN2,BIRC5,CCR5,CDH1,CDKN1A,CYP19A1,FN1,GDF10,HTRA1,JAG1,LUM,MMP2,SMAD6,SNAI1,SNAI2,SOX6,SOX9,SPP1,TPSAB1/TPSB2"	350 (17)
PTGER2	0.8	G-protein coupled receptor	 	-1.929	bias	0.0291	"ADGRE1,CCNA2,CDH1,ECM1,H2AC4,HDC,MMP9,PTGES,SPP1,TIMP2"	 
TWIST1	0.797	transcription regulator	Activated	2.042	 	1.2E-15	"ACAN,APOD,CBX2,CCDC3,CCN4,CDH1,CDKN1A,CXCL12,DCN,DKK3,EMILIN1,ENPP3,EPCAM,FGF10,FGFR3,FIBIN,FMOD,FN1,GPC1,IGFBP4,ITGB3,KIT,MFGE8,MMP2,MRC2,NCAM1,NT5E,OLFML3,PCOLCE,PROM1,PTPRZ1,SNAI1,SNAI2,SPP1,THBS2,TNFRSF21,UNC5B,VCAN"	379 (20)
HLF	0.786	transcription regulator	 	 	 	0.0147	"AQP4,BCL2L14,SCNN1A"	 
ZEB2	0.775	transcription regulator	 	-0.67	bias	0.00474	"ALPL,CDH1,CX3CR1,CYP4F3,FCER1A,KRT19,SFRP1,SNAI1"	 
FZD7	0.772	G-protein coupled receptor	 	 	 	0.022	"CDH1,SNAI2"	 
SGK1	0.742	kinase	 	1.38	bias	0.0156	"CDKN1A,DLG4,GRIK2,GRIN2A,KCNA5,SCNN1A,SCNN1B,SLC1A7"	 
NRBP2	0.73	kinase	 	 	 	0.0147	"KRT19,NOTCH1,PROM1"	 
ZFP36L2	0.722	transcription regulator	 	 	 	0.032	"SCN2A,SNAP25"	 
PODXL	0.72	kinase	 	 	 	0.0137	"CDH1,MMP9"	 
FASLG	0.718	cytokine	 	0.128	 	0.0163	"BIRC5,CDH1,EGR2,FTH1,TGFB2,TGFB3"	 
PDGFB	0.718	growth factor	 	0.254	bias	0.0000701	"CCN3,FGF1,FGF10,FGF7,FN1,KCNA5,KLF2,MMP2,MMP9,PDGFRB,SERPINF1,SPP1"	399 (22)
AXL	0.713	kinase	 	0.931	 	0.0275	"CDH1,MMP2,MMP9,SNAI1,SNAI2"	 
NOTCH3	0.713	transcription regulator	 	1.023	bias	2.13E-08	"APOD,ARHGEF4,BIRC5,CDH1,CDH11,CDKN1A,FABP7,FN1,HEY2,MMP9,NOTCH1,NRARP,PDGFRB,PROM1,SNAI2,SPARC"	324 (15)
FOXC1	0.703	transcription regulator	 	1.941	bias	0.000891	"ITGB3,MMP7,MMP9,NOTCH1,PITX2,SNAI2"	188 (7)
CAV1	0.69	transmembrane receptor	 	-0.8	 	0.000267	"CDH1,CDKN1A,FOXD3,GIPC2,GRIN2A,IDO1,KRT19,KRT6B,MUC5B,NOTCH1,NTRK2,PROM1,SLC12A2,SLC5A5,SLC7A2,SNAI1,SNAI2,WFDC2"	437 (25)
ERF	0.68	transcription regulator	Activated	2.138	 	0.00000159	"BNC1,CDH1,CDH13,COL4A6,COL7A1,KRT5,P2RY2,TP63"	158 (7)
MET	0.677	kinase	 	-0.366	bias	0.00000663	"BNIPL,CAMK2B,CDH1,CDK1,CDKN1A,CLDN1,COL5A2,CTSV,FBXO32,FN1,HDC,HSPB1,ITGA3,JAG2,MMP2,NOX4,PAPPA,PLK2,SNAI1,SPP1"	389 (21)
CXCR2	0.673	G-protein coupled receptor	 	 	 	0.0247	"CCL22,GPT,MUC5B,SOX9"	 
GLIS2	0.661	transcription regulator	Inhibited	-2	bias	0.0104	"LTBP2,SNAI1,SNAI2,SPARC"	 
