Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	Flags	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
SOX4	1.076	transcription regulator	Activated	2.373	bias	0.0435	"BAX,BBC3,CCN3,DUSP4,FHL1,IGF2,IGFBP4,MEX3A,MMP11,PARD6G,PYGL,TENM4,TIAM1,TMEM176B,TUBA1A,UCHL1"	 
PGF	1.907	growth factor	 	0.128	bias	0.00561	"CCL20,CCL28,DCN,IL1B,KIT,NANOS1,NRP2"	 
ITGB3	1.865	transmembrane receptor	 	1.777	 	0.0131	"IL1B,ITGA3,ITGA5,ITGB3,MMP14,MMP2,SELP,SNAI2,SPARC"	 
PER2	0.003	transcription regulator	 	 	 	0.0429	"ALAS1,ALAS2,CCND1"	 
THRAP3	-0.023	transcription regulator	 	 	 	0.0429	"CA3,CCND1,RARRES2"	 
DKK1	1.791	growth factor	 	-0.647	bias	0.0261	"CCND1,DLG4,FGF2,SNAI2,SPARC,TBX3,TTYH1,WNT5A"	 
NFIC	-0.351	transcription regulator	 	 	 	0.042	"CCND1,CEL,FABP7,GFAP"	 
BMP2	1.728	growth factor	Activated	2.203	bias	0.000000896	"ACAN,ALDH1A2,ALPL,AMH,ATP2C2,BMP2,CCND1,CRYM,CTSK,CXCL12,DPYSL2,F3,FGF2,FGFR1,FZD1,GFAP,KLK7,L1CAM,NOTCH1,NTRK3,POMC,POSTN,PTH1R,RGS6,SLC26A2,SOX2,SPARC,TGM2,TIMP3,TMEM119"	427 (18)
NTRK3	1.648	kinase	 	 	 	0.016	"GRIN2B,NTRK3"	 
F2R	1.614	G-protein coupled receptor	Activated	3.476	bias	0.000000465	"CCND1,CXCL12,F2R,F3,GJA1,IGFBP7,IL1B,KRT19,LAMB1,LAMB3,MCAM,MMP2,PGR,PLAT,SELP,SERPINB5,TEK,TFPI,TGM2,VWF"	490 (17)
ITGA5	1.477	transmembrane receptor	 	 	 	0.000225	"APOE,CCND1,CHRD,GJA1,IGF2,IGFBP2,IL1B,MMP14,MMP2,SELP"	434 (19)
IGF2	1.458	growth factor	 	0.878	 	0.0098	"BMP2,CCND1,CTSV,FABP7,GADD45A,H19,IGF2,IGFBP2,IGFBP4,IGFBP6,ITGA5,MDM2,MMP11,OGN,PHLDA1,RAD51,ZFAND5"	436 (22)
CCN5	1.451	growth factor	 	-1.414	 	0.00605	"FOXA1,IGFBP7,ITGA5,LAMB3,LAMC2,SNAI2,SPARC,TFF3"	 
IKZF4	-0.26	transcription regulator	 	 	 	0.0371	"CTSK,POMC"	 
DDR2	1.446	kinase	 	 	 	0.0182	"MMP14,MMP2,MMP7"	 
CX3CL1	1.414	cytokine	Activated	2.157	 	1.11E-11	"ALDH1A2,APOD,ASPA,BMP7,CRABP2,CX3CL1,CXCL12,FABP7,FGF2,GFAP,GPNMB,GSN,HEYL,IFIT3,IL1B,LAMC1,MFGE8,MICOS10-NBL1/NBL1,MMP2,OLFM4,PLP1,POSTN,RELN,SDK2,SELP,SERPINF1,SOX4,SPHK1,SPON2,TFAP2C"	414 (17)
WDR77	-0.237	transcription regulator	 	1.177	bias	0.0368	"PSCA,SAA1,SERPINB5,TFF3"	 
FOXO1	0.255	transcription regulator	 	0.95	 	0.036	"A2M,ALAS1,BAX,C1QA,CAV1,CCL20,CCN3,CCND1,CKMT2,CNR1,COL4A1,COL4A2,COMP,CTSK,CTSV,DDIT4,DIO2,FAS,GADD45A,GPX3,IGFBP7,IL1B,ITGA3,ITGB6,JAG1,NRP2,POMC,SERPINB2,SERPINB5,SFN,SOX2,SOX4,SPC25,TBX21"	 
ID4	0.864	transcription regulator	 	 	 	0.0357	"BAX,BBC3,MMP2"	 
TFAP2B	0.529	transcription regulator	 	 	 	0.0357	"IGF2,KIT,MMP2"	 
HIRA	0.255	transcription regulator	 	 	 	0.0357	"PGF,PLXDC1,SPHK1"	 
F3	1.401	transmembrane receptor	Activated	2.286	bias	0.0000552	"DUSP9,F3,FUT8,GJA1,IL1B,ITGA2,LAMB1,MDK,MMP2,MMP7,MSLN,SPRY4,TGM2"	333 (17)
GLI3	0.787	transcription regulator	 	0.738	 	0.0354	"CCND1,CCND2,FGF10,GLI1,JAG2,SFRP1,TNFRSF10A,WNT5A"	 
MED13	-0.177	transcription regulator	 	-0.816	 	0.0349	"CIB2,ELN,NTRK2,PYGL,SLC37A2,SUSD2"	 
FGF2	1.396	growth factor	Activated	3.531	bias	9.08E-17	"ACAN,ADM,ANPEP,BAX,BBC3,BGN,BMP2,CAV1,CCL20,CCN3,CCN4,CCND1,CCND2,CTSK,CXCL12,CYGB,DCN,DIO3,DKK2,ELN,ETV4,ETV5,F3,FAS,FGF2,FGFR1,GADD45A,GFAP,GJA1,GLI1,GPNMB,GRIN2A,GRIN2C,IGF2,IGFBP2,IGFBP4,IL1B,INHBA,ITGA3,ITGA5,KL,LOX,MAPT,MCAM,MDM2,MMP2,NES,NGFR,NOTCH1,PCSK2,PGF,PLAT,PLXDC1,S100A10,SCG2,SDC1,SFRP1,SMIM3,SNAI2,SPARC,SPHK1,SPRY4,ST3GAL4,STOM,TFPI,TIMP3,TSHR,VWF,WNT5A"	455 (17)
CAV1	1.346	transmembrane receptor	 	0.468	 	0.00000836	"ADGRG2,CAV1,CAV2,CAVIN1,CCND1,FAS,FGF2,FOXA1,GRIN2A,GRIN2B,INHBA,KRT19,KRT6B,MDM2,MUC5B,NOTCH1,NTRK2,PLA2G4A,SLC12A2,SNAI2,SOX2,TFPI"	322 (17)
FGF10	1.33	growth factor	 	1.172	bias	0.0266	"CTSB,LFNG,MMP14,S100A6,SOX2,TIMP3,TSPAN8"	 
ZBED6	0.033	transcription regulator	 	-0.541	bias	0.0333	"DDIT4,IGF2,KCTD1,PMEPA1,UPP1"	 
YY1	-0.2	transcription regulator	 	0.115	 	0.033	"CAPG,CFTR,CHRDL1,COL15A1,CXCL12,CYP24A1,DKK2,FAS,FCRL6,GPC3,H4C3,IL1B,LAMA1,LRP2,MDM2,MMP2,NGFR,NSG1,RAD51,RND3,TGM2,TNFRSF10A,VWF"	 
TAL1	0.867	transcription regulator	 	0.577	 	0.0322	"ADCY3,BHMT2,CDKN3,CIB2,CMA1,DSC3,GALNT7,GUCY1A1,HSD17B14,KIT,MCTP1,MSLN,NOTCH1,SERPINB2,SLC4A11,SOX4,TPSAB1/TPSB2,TSHR,ZNF827"	 
FGF1	1.317	growth factor	 	1.566	 	0.000131	"APOE,CCN4,CCN5,CCND1,DIO3,FGFR1,FZD1,GCLM,GSTM5,IL1B,NOTCH1,PMEPA1,POSTN,SNAI2,SOX2,SSTR2,TGM2,TIMP3"	315 (16)
TCF7L2	0.245	transcription regulator	Activated	3.482	bias	0.0319	"ALDH1A2,APOD,ASPA,CCN5,CCND1,CCND2,CLDN11,DHCR24,GCLM,GSN,JAG1,KIF19,LAMC2,MAN1A1,MCAM,MMP7,NUDT4,PLAT,PLEKHG1,PLP1,RHBDL2,SLC12A2,SNAI2,SOX2,SYDE2,TP63"	 
NCOR2	0.14	transcription regulator	 	 	 	0.0317	"C1QA,CCND1,CTSB,IL1B,MMP2,PGR,POMC"	 
ERG	0.391	transcription regulator	Activated	2.356	bias	0.0307	"ALOX12,ARHGAP22,ARHGEF6,CNR1,DYNC1I1,F2R,FHL1,GFRA3,GUCY1A1,NLGN1,NRG1,PLAT,RHOJ,SOX4,SPARC,TACC1,TSC22D3,VWF"	 
YBX1	-0.084	transcription regulator	 	1.516	 	0.0305	"ABCB1,ABCC1,DCLK3,F3,FGFR1,HES2,MMP2,RELN,RIN1,SPON1"	 
SPI1	0.55	transcription regulator	 	1.315	 	0.0299	"BAX,C1QC,CCND1,CCND2,CD209,CTSK,FES,IFI27,IFI6,IFIT3,IL1B,IRAK3,ISG15,ITGA5,KIT,LTF,LY6E,MMP2,MT1E,MT1F,MX1,TRIM22"	 
NFE2L2	0.07	transcription regulator	 	1.411	bias	0.0297	"ABCC1,ABCC2,ABCG2,ALAS1,ALAS2,CA11,CA3,CHGB,COL4A2,CTSK,EIF3C,ELN,FMO1,GAS2,GCLM,GFAP,GNA14,GPX3,GSTA1,GSTM5,IL1B,L1CAM,LY6E,MAPK10,MGST1,RELN,RGS11,SAA1,SCG2,SNAI2,SOD3,SYN2,VSNL1"	 
ZBTB7A	0.128	transcription regulator	 	 	 	0.0296	"BBC3,H19,MDM2,MIA,NRP1"	 
SPHK1	1.29	kinase	Activated	2.2	 	0.0382	"CCND1,IL1B,MAP2K6,PTGES,SELP,SPHK1"	 
FGFR1	1.191	kinase	Activated	2.003	bias	0.000171	"BAX,BMP7,CCND1,CCND2,EIF3C,FGF1,FGF10,FGF2,FGF7,FGFR1,MMP14,NOTCH1,PLP1,SFN,SPARC"	399 (19)
JARID2	-0.202	transcription regulator	 	 	 	0.0292	"CCND1,CCND2,NOTCH1"	 
PA2G4	-0.289	transcription regulator	 	 	 	0.0292	"AGR2,GDF15,SLC43A1"	 
JUND	0.055	transcription regulator	 	1	 	0.0288	"ALAS1,CCND1,F3,GNRHR,MMP7,SDC1,SERPINB2,SOX4,TBX21"	 
GLI2	0.334	transcription regulator	Activated	2.217	 	0.028	"BNC1,CCND1,CCND2,GLI1,IL1B,JAG1,JAG2,MEOX1,PI3,SFRP1,SMO"	 
ELF5	0.108	transcription regulator	 	-0.339	bias	0.0276	"BPIFA2,FOXA1,PGR,SNAI2"	 
P2RY2	1.182	G-protein coupled receptor	 	1.925	bias	0.042	"CCND1,F3,SESN2,SLC12A1"	 
FOSL2	0.269	transcription regulator	 	 	 	0.0266	"DIO2,F3,FAS,FOLR2,MMP2,SERPINB2,SOX4"	 
NFATC1	0.776	transcription regulator	Activated	2.379	bias	0.0264	"BMP7,CCND1,CCND2,CTSK,FAS,GLI1,GPC6,IL1B,ITGB3,PLS3,TBX21"	 
JAG2	1.156	growth factor	Activated	2.415	bias	0.0166	"BMP2,BMP7,CCL20,IL1B,JAG1,NOTCH1"	 
AGT	1.138	growth factor	Activated	3.737	 	1.92E-09	"ADAM23,ADH1C,ADM,ADORA2B,ALOX12,BAX,BDKRB2,BGN,CACNA2D1,CAV1,CCND1,CCND2,CDH13,CGREF1,CIT,COL4A1,COL4A6,CRABP2,DCUN1D3,F3,FGF2,FGF7,FOXP2,GABRB3,GAS2,GJA1,GSTM5,HSPB1,IGFBP4,IL1B,ITGA2,ITGA5,ITGA7,ITGB3,JAG1,KL,L1CAM,LAMB1,LEPR,MAPT,MATN2,MGST1,MMP2,NPR1,NPR3,NRG1,PDE3A,PGF,POSTN,SCN2A,SDC1,SEMA6A,SERPINB2,SLC12A1,SLC6A2,SOD3,SOX4,TFPI,TTN"	394 (20)
JAG1	1.103	growth factor	Activated	2.646	bias	0.0243	"CCND1,CCND2,HEYL,ITGB3,SNAI2,SOX2,TIMP3"	 
CXCL12	1.098	cytokine	Activated	2.452	bias	0.00117	"AKR1C3,ANKS1B,BAX,BMP2,CCND1,CTSK,CX3CL1,CXCL12,FAS,GAS2,IFI27,IGFBP7,IL1B,ITGB3,KIT,MMP11,MMP14,MMP2,PGR,SOCS2,TNFRSF10A,TNFRSF10C"	422 (18)
BRCA2	-0.128	transcription regulator	 	 	 	0.0257	"BAX,BBC3"	 
NTF4	1.087	growth factor	 	1.964	bias	0.00884	"DLG4,NTRK2,SPARC,TUBA1A"	 
SMO	1.058	G-protein coupled receptor	 	0.692	bias	0.00000217	"BGN,CCND1,COL4A2,DIO3,FAS,FBLN2,GLI1,KRT5,LGR5,LUM,NRP2,OGN,PTCH2,SOX2,SYNM,TNFRSF10A,WIF1"	367 (17)
GPC6	1.053	transmembrane receptor	 	 	 	0.00827	"CCND1,GLI1"	286 (11)
LRP1	1.015	transmembrane receptor	 	-1.221	 	0.00103	"C1R,C1S,IL1B,LRP1,MMP2,MRC2,SERPINF1,SMO,WNT5A"	421 (19)
ATF4	-0.141	transcription regulator	Activated	3.252	bias	0.0242	"ABCG2,AMPD1,APOE,BBC3,COL4A2,DDIT4,DDR2,GADD45A,GDF15,IGFBP2,IGFBP7,JAG1,MGST1,PMP22,SERPINF1,SLC43A1,SNAI2"	 
SIM2	-0.211	transcription regulator	 	-1.624	 	0.0235	"GADD45A,MMP2,SNAI2,TIMP2"	 
FZD7	0.988	G-protein coupled receptor	 	 	 	0.0257	"CCND1,SNAI2"	 
KITLG	0.983	growth factor	 	1.15	bias	0.0347	"CALCB,CAVIN2,CMA1,CX3CL1,CXCL12,DHCR24,F2R,FGFR1,GFAP,GJA1,IL1B,ITGB3,KIT,LTF,LY6E,MMP2,SNAI2,ST3GAL4,TPSAB1/TPSB2,TSC22D3,VWF"	 
FOXD3	0.286	transcription regulator	 	 	 	0.0234	"FOXA1,RND3,SOX2"	 
MDM2	1.019	transcription regulator	 	0.793	 	0.0232	"BAX,BBC3,CCND1,IGFBP6,MDM2,SFN,SNAI2,TP53AIP1,TP63"	 
ZEB1	0.868	transcription regulator	 	0.342	 	0.0232	"CD163,IL1B,KIT,KRT19,LAMC2,LOX,NRP2,PTPRZ1,TP63"	 
ITGB1	0.973	transmembrane receptor	Inhibited	-2.908	 	8.54E-12	"ABCC1,ADAMTS2,ADAMTSL1,APOE,BCAN,CCN4,COL5A2,COL7A1,FBN2,FGF1,GFAP,IGF2,IL1B,ITGA3,ITGA5,ITGA7,ITGB3,LAMA1,LAMB1,LAMC1,LOX,LOXL1,MATN2,MMP2,OLFML3,RAD51,RELN,SPON1,TGM2,TIMP2,WNT5A"	438 (18)
EFNA5	0.961	kinase	 	0	 	0.00241	"CRABP2,DSG1,DUSP4,ETV5,ITGB6,KLK7,PKP1,PLAT"	 
ZBTB48	0.32	transcription regulator	 	-1.342	bias	0.0232	"GPNMB,RNF150,SNORA71D,SNORA80A,SNORD3A"	 
IRF1	0.178	transcription regulator	 	1.687	bias	0.0232	"BAX,C1R,CCL20,CCND1,CFB,CFTR,IFI27,IFI6,IFIT3,IL12RB2,IL1B,ISG15,MX1,PLAAT3,TBX3,TLR6,TRIM22"	 
CNOT7	-0.333	transcription regulator	 	 	 	0.0232	"BST2,IFI27,IFI6,ISG15,TFF3"	 
IL33	0.939	cytokine	Activated	2.332	bias	0.013	"ADORA2B,ALDH1A3,APOE,CALCB,CCND1,CX3CL1,FAS,HCAR2,IL1B,IRAK3,ITGA5,JAG1,LEPR,MDK,MUC5B,NLRP3,NMUR1,PAPSS2,PLAT,RAMP3,SERPINB2,TPSAB1/TPSB2"	 
VCAM1	0.937	transmembrane receptor	 	 	 	0.0257	"ABCG2,CCND1"	 
PDGFB	0.915	growth factor	 	1.6	 	0.0221	"BBC3,CCN3,FGF1,FGF10,FGF7,MMP2,PHLDA1,SERPINF1"	 
ZNF202	0.128	transcription regulator	 	 	 	0.0199	"APOE,CRABP2,PLP1,PLTP"	 
EPHB4	0.915	kinase	 	1.414	bias	0.00537	"BMP2,BMP7,IGF2,IGFBP4,KIT,PLP1,TEK,WNT5A"	 
KLF10	-0.528	transcription regulator	 	-0.061	 	0.0199	"BAX,CCND1,POMC,TBX21"	 
CREM	0.096	transcription regulator	 	-1.195	 	0.0192	"ADORA3,ADRB1,APOE,CAMP,CCND1,CCND2,COL8A1,CRABP2,DIO2,DUSP4,NOTCH1,OAZ3,PDE3A,TIPARP,TSHR"	 
DACH1	-1.343	transcription regulator	Inhibited	-2.2	 	0.0187	"FGF2,FGFR1,PLAT,RAD51,RELN,SOX2"	 
SRC	0.894	kinase	 	0.169	bias	0.00611	"CAV1,CAVIN1,CCND1,CCND2,CTSB,CTSV,DOK1,F2R,F3,FGR,GJA1,MMP2,POSTN,PTH1R"	420 (20)
ITGA6	0.886	transmembrane receptor	 	1.673	bias	0.000344	"BAX,CCND2,ITGA2,ITGA3,ITGA7,LGR5"	402 (16)
NGF	0.871	growth factor	 	0.903	bias	0.0000178	"A2M,ADM,BAX,BBC3,CALCB,CAV1,CCND1,CHGB,DLG4,DUSP4,ETV4,ETV5,FAS,GADD45A,GRIN2A,GRIN2B,GUCY1A1,IGF2,ITGA2,LRP1,MMP2,NGFR,PLA2G4A,SCG2,SCN2A,SCN9A,SMIM3,STOM,WNT5A"	503 (19)
RUVBL2	0.174	transcription regulator	 	 	 	0.0182	"CCND1,CCND2,PGR"	 
TRIM25	0.047	transcription regulator	 	 	 	0.0182	"BAX,MDM2,SFN"	 
TGFB2	0.868	growth factor	 	1.505	 	0.00133	"ASPN,COL4A1,CYP24A1,FAS,FGF2,INHBA,JAG1,MIA,MMP2,NOTCH1,OSR1,RUNX1T1,SNAI2,SPHK1,TIMP2"	464 (21)
MITF	0.318	transcription regulator	 	1.833	bias	0.0172	"ACAN,APOE,CMA1,CTSK,GLI1,GMPR,GPM6B,GPNMB,GYG2,ITGA3,KIT,MMP14,NGFR,RRAGD,SDC1,SEMA3C,SEMA6A,SERPINF1,SPC25,TPSAB1/TPSB2,UPP1"	 
IGF1	0.868	growth factor	Activated	3.479	 	0.00000337	"A2M,ADM,ADORA2B,AKR1C1/AKR1C2,ANPEP,BAX,BBC3,BGN,BMP2,C1QA,CAMP,CAVIN2,CCND1,CCND2,CLEC11A,DDIT4,ELN,F3,FGFR1,FJX1,FOXA1,GADD45A,GFAP,HSD11B1,IGF2,IGFBP2,IGFBP4,IGFBP6,IL1B,ITGA3,ITGA5,LCN2,LEPR,MAPT,MDM2,MMP14,MMP2,MUC5B,NTRK2,PDE3A,PGR,PHLDA1,PLP1,PRNP,PTH1R,S100B,SFN,SNAI2,SNCG,SOX2,TSHR"	401 (16)
FOXM1	-0.425	transcription regulator	Activated	2.625	bias	0.017	"CAV1,CCND1,CCND2,CDKN3,CXCL12,FZD1,LOX,MMP2,MMP7,NES,PTCH2,SFRP1,SNAI2,SOX2"	 
NFAT5	0.348	transcription regulator	Activated	2.349	bias	0.0167	"CCN4,DDIT4,F3,IGFBP7,IL1B,LCN2,NRG1,PLAT,PTGES,TNFRSF21,VWF"	 
CDKN1A	0.863	kinase	 	0.605	 	0.0013	"ASPN,BAX,BBC3,CCND1,CDKN3,CHEK1,CIT,COL4A1,COL4A2,CPA3,CTSB,CTSK,FAS,GADD45A,IL1B,INHBA,ITGB3,JAG1,KRT5,LAMC1,MDM2,PRSS23,RAD51,SAA1,SSPN,TP63,TRDN"	402 (18)
MEOX2	1.014	transcription regulator	 	-0.956	bias	0.0166	"CCL20,F3,FGF2,ITGB3,LRP1,MMP14"	 
NTRK1	0.863	kinase	 	 	 	0.000191	"CALCB,DLG4,GADD45A,IGF2,LGALS1,SCN9A,WNT5A"	172 (7)
PML	0.277	transcription regulator	 	0.592	 	0.0165	"APOE,BAX,BST2,CCND1,CIT,CPE,FAS,GADD45A,GCLM,HSPB1,IFI27,IFIT3,IL1B,ISG15,MX1,SNAI2"	 
RUNX2	0.104	transcription regulator	Activated	3.121	 	0.0164	"ABCB1,ALPL,BAX,BMP2,CCND1,GDF10,JAG1,LUM,MMP14,MMP2,PTGDS,SNAI2,TPSAB1/TPSB2"	 
HMGB1	0.075	transcription regulator	 	0.49	bias	0.0164	"BAX,CCL20,CD163,GFAP,IL1B,MDM2,MERTK,MIA,MX1,PTGES"	 
IL11RA	0.832	transmembrane receptor	 	-0.87	bias	0.0148	"CCL20,MMP2,MMP7,POSTN,SAA1,SELP,SOX2"	 
ROR2	0.79	kinase	 	 	 	0.0232	"BMP7,CCND1,CCND2,CDKN3,GALM,MDM2,PMP22,SFN,SPRY4"	 
SGK1	0.786	kinase	 	0.103	bias	0.00827	"CFTR,DLG4,GRIN2A,GRIN2B,SLC12A1,SLC1A3,SLC1A7,SLC9A3,SMO"	262 (5)
HMG20B	0.104	transcription regulator	 	 	 	0.016	"SCN2A,SCN3A"	 
TGFBR3	0.768	kinase	 	 	 	0.0429	"BAX,COL4A6,SNAI2"	 
HTR2B	0.748	G-protein coupled receptor	 	 	 	0.0234	"BAX,COL23A1,SERPINB2"	 
TLR4	0.738	transmembrane receptor	Activated	2.815	bias	0.00102	"ACPP,ADM,BAX,BMP2,CCL20,CCND2,CD163,CFB,CMA1,CTSK,DOCK11,F3,FAS,GFAP,GJA1,GPR34,IFIT3,IL1B,INHBA,IRAK3,ISG15,JAG1,LCN2,MERTK,MX1,NLRP3,OXTR,PGR,PLAT,PTGES,SELP,SERPINB5,SLA,SPHK1,TNFRSF10A,TNFSF8"	423 (16)
NCOA2	-0.069	transcription regulator	 	0.87	bias	0.0156	"ALAS2,BMP2,CCND1,FRZB,HCAR2,IL1B,ISG15,KHK,KRT19,PGR,PLTP,TSC22D3"	 
MET	0.732	kinase	 	1.259	bias	0.000628	"CAMK2B,CCND1,CCND2,COL5A2,CTSV,HSPB1,IL1B,INHBA,ITGA3,JAG2,LAMA3,MDM2,MERTK,MMP2,SLA,SOX2,TNFSF8"	432 (19)
TGFB1	0.714	growth factor	Activated	5.421	 	4.56E-29	"ABCC2,ABCG2,ACAN,ACKR1,ACPP,ADAMTS2,ADGRB1,ADGRG2,ADM,ADORA1,ADORA2B,AGR2,AKR1C1/AKR1C2,ALOX12,ANPEP,ANXA8/ANXA8L1,APOE,ASPN,BAX,BBC3,BDKRB2,BGN,BMP2,BMP7,C1QA,C1QC,C1R,C1S,CALCB,CALML3,CAMP,CAV1,CAV2,CAVIN2,CCL20,CCN3,CCN4,CCN5,CCND1,CCND2,CCNO,CCR10,CD163,CDH19,CDKN3,CFB,CFH,CFI,CHST3,CMTM5,COL12A1,COL16A1,COL18A1,COL4A1,COL4A2,COL4A6,COL7A1,COL8A1,COMP,CSPG4,CST3,CTPS1,CTSB,CTSK,CX3CL1,CXCL12,DACH1,DCN,DDIT4,DDR2,DKK3,DOK1,DPYSL2,DUSP4,ELN,EMILIN1,F2R,F3,F5,FAP,FAS,FBLN2,FGF10,FGF2,FGF7,FGFR1,FHL1,FOXA1,FSCN1,FSTL3,FUT8,FZD1,GADD45A,GALM,GAS7,GATD3A/GATD3B,GATM,GCNT1,GDF15,GFAP,GJA1,GLI1,GMPR,GNA14,GNAO1,GNG2,GPR146,GPR156,GPT,GRIN2A,GRIN2B,GRIN2C,GSN,HCAR2,HDAC9,HSPB1,IFI27,IFIT3,IGF2,IGFBP2,IGFBP4,IGFBP6,IGFBP7,IL1B,INHBA,INPP5D,IRAK3,ITGA2,ITGA3,ITGA5,ITGA7,ITGB3,ITGB6,ITIH5,JAG1,JAG2,KCNG1,KIT,KLRC4-KLRK1/KLRK1,KRT19,L1CAM,LAMB3,LAMC1,LAMC2,LCN2,LOX,LOXL1,LTBP2,MDM2,MFAP2,MFAP4,MID1,MMP11,MMP14,MMP2,MMP7,NEGR1,NLRP3,NNMT,NOTCH1,NPR1,NRP1,OLFM2,PDE4D,PDLIM4,PLA2G4A,PLAT,PLS3,PMEPA1,POMC,POSTN,PTGDS,PTGES,PTH1R,RAD51,RBMS3,RIN1,ROR1,S100A10,S100A6,SAMHD1,SDC1,SELP,SERPINB5,SERPINF1,SFRP1,SLC13A3,SLC16A9,SLIT3,SMOC2,SNAI2,SOD3,SOX4,SPARC,SPARCL1,SPC25,SPHK1,SSTR2,ST3GAL4,SUSD5,SVEP1,TBX21,TBX3,TENM4,TFPI,TGM2,THBS4,TIMP2,TIMP3,TNFRSF10A,TPSAB1/TPSB2,TRIM9,TSC22D3,TUBA1A,VWF,WNT5A"	524 (23)
HGF	0.705	growth factor	Activated	3.883	bias	0.00000373	"A2M,ABCC6,ABCG2,ACKR4,AKAP12,BMP2,BNC1,CAV1,CCND1,CDKN3,CNTFR,COL4A1,CRLF1,CTSK,DSG1,DUSP4,F3,FGF7,FOXA1,IGFBP4,IL1B,INHBA,ISG15,ITGA2,KRT19,L1CAM,LAMC2,LCN2,MDM2,MERTK,MID1,MMP14,MMP2,NES,NRG1,NRP1,PGF,PHLDA1,PLPP1,PMP22,RARRES2,RIN1,SERPINB2,SFRP1,SOCS2,SOX2,TIMP3,TMEM158,TNFRSF10C,TNFSF15,TP63,TRDN"	499 (18)
FYN	0.703	kinase	 	-0.6	 	0.0418	"DAB1,IL1B,MAPT,NLRP3,NOTCH1,PLP1"	 
NEK2	0.679	kinase	 	 	 	0.016	"FAS,GADD45A"	 
TWIST2	0.128	transcription regulator	 	1.454	 	0.0147	"CCND1,H19,IL1B,POSTN,SNAI2,SOX2"	 
RAD21	-0.159	transcription regulator	 	-1.982	 	0.0147	"CXCL12,IGF2,ITGA5,PCDHA4,SNAI2,SOX4"	 
KDM5B	0.339	transcription regulator	Inhibited	-2.332	 	0.0143	"CAV1,CCND1,DHCR24,FHL1,FJX1,FOXA1,GADD45A,IGFBP2,ISG15,MCAM,MT1E,MT1F,PGR,PLS3"	 
STAT2	0.399	transcription regulator	 	0.789	bias	0.0142	"CAV1,GBP6,GLI1,IFI27,IFI6,IFIT3,ISG15,MX1"	 
HSF1	-0.075	transcription regulator	Activated	2.068	 	0.014	"ABCB1,BAX,BMP7,BST2,COL18A1,DLGAP1,DNAJB1,DPT,FBLN1,FGF1,FGF7,HSPB1,HSPH1,IL1B,MAPT,POSTN,PROM2,SEMA3C,SLIT3,SNAI2"	 
