Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.4	0.109	#NUM!	"CDH1,FGF1,FGF10,FGF7,FGFR1,FGFR3,FZD1,JAG1,JAG2,LOX,MMP2,MMP9,NOTCH1,PDGFRB,SNAI1,SNAI2,TCF7L1,TGFB2,TGFB3,TWIST2,WNT7B"
"Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis"	3.38	0.105	#NUM!	"ALPL,BMP7,DKK2,DKK3,DLX5,FRZB,FZD1,IL1RAPL1,IL1RL1,ITGA2,ITGA3,ITGB3,NFATC4,NGFR,SFRP1,SFRP2,SFRP4,SFRP5,SMAD6,SMAD9,SPP1,TCF7L1,WNT7B"
Breast Cancer Regulation by Stathmin1	3.26	0.0795	#NUM!	"ADGRA1,ADGRA2,ADGRB1,ADGRB2,ADGRD2,ADGRE1,ADGRF1,ADGRL3,ADORA1,ADORA2B,ADRB1,ARHGEF15,ARHGEF4,CAMK2B,CCR5,CDK1,CX3CR1,E2F7,EDNRA,F2RL2,FZD1,GLP1R,GPR153,GPR173,GPR26,GPR27,GPR37L1,GPR83,GPR87,GPRC6A,LGR5,MCHR1,MMP2,MMP9,OXGR1,OXTR,P2RY2,PGF,PPP1R14C,PPP2R2B,PRKACB,PTGIR,PTH1R,SLC52A1,SSTR2,TAS1R3,TGFB2"
Bladder Cancer Signaling	3.12	0.134	2	"CDH1,CDKN1A,FGF1,FGF10,FGF7,FGFR3,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,PGF"
Transcriptional Regulatory Network in Embryonic Stem Cells	2.99	0.167	#NUM!	"FOXD3,H4C13,H4C2,H4C3,H4C4,H4C6,H4C8,L1CAM,TCF7L1"
RhoGDI Signaling	2.94	0.106	-4.123	"ARHGEF15,ARHGEF4,CDH1,CDH11,CDH13,CDH15,CDH19,CDH24,CDH3,CDH6,CDH8,GNA14,GNAO1,ITGA2,ITGA3,PAK5,RHOJ,RHOV,RND2"
Neuroprotective Role of THOP1 in Alzheimer's Disease	2.82	0.12	3.606	"AGT,CMA1,HTRA1,KLK5,KLK6,KLK7,MASP1,MMP9,PRKACB,PRSS12,PRSS22,TMPRSS11D,TMPRSS11E,TPSAB1/TPSB2"
Hepatic Fibrosis Signaling Pathway	2.72	0.0842	4.382	"ACVR1C,AGT,CACNA1E,COL18A1,EDNRA,FGFR1,FTH1,FZD1,GLI2,GLI3,IL1RAPL1,IL1RL1,ITGA2,ITGA3,ITGB3,LEPR,NGFR,NOX4,PDGFRB,PGF,PRKACB,RHOJ,RHOV,RND2,SNAI1,SPP1,TCF7L1,TGFB2,TGFB3,TTN,WNT7B"
LPS/IL-1 Mediated Inhibition of RXR Function	2.55	0.0938	2.236	"ABCG1,ACSBG1,ALDH1A2,ALDH4A1,APOC1,CHST3,FABP7,FMO1,FMO3,FMO4,GSTA1,IL1RAPL1,IL1RL1,IL4I1,LBP,NGFR,SOD3,SULT1C2,SULT1C4,SULT2B1,SULT4A1"
Signaling by Rho Family GTPases	2.44	0.0902	4.472	"ARHGEF15,ARHGEF4,CDH1,CDH11,CDH13,CDH15,CDH19,CDH24,CDH3,CDH6,CDH8,CIT,GNA14,GNAO1,ITGA2,ITGA3,NOX4,PAK5,RHOJ,RHOV,RND2,SEPTIN5"
VDR/RXR Activation	2.38	0.128	2.646	"CAMP,CDKN1A,CYP24A1,IL1RL1,KLK6,RXRG,SEMA3B,SPP1,TGFB2,VDR"
LXR/RXR Activation	2.25	0.107	0.832	"ABCG1,AGT,APOC1,APOD,IL1RAPL1,IL1RL1,LBP,MMP9,NGFR,RXRG,SAA1,SAA2,SERPINF1"
IL-15 Production	2.25	0.107	3.051	"BMX,EPHA5,EPHB3,FGFR1,FGFR3,KIT,MST1R,NTRK1,NTRK2,PDGFRB,PTK7,ROR1,ROR2"
Human Embryonic Stem Cell Pluripotency	2.25	0.104	#NUM!	"BMP7,FGFR1,FGFR3,FOXD3,FZD1,NGF,NTRK1,NTRK2,PDGFRB,SMAD6,TCF7L1,TGFB2,TGFB3,WNT7B"
DNA Methylation and Transcriptional Repression Signaling	2.22	0.171	#NUM!	"H4C13,H4C2,H4C3,H4C4,H4C6,H4C8"
Atherosclerosis Signaling	2.11	0.103	#NUM!	"APOC1,APOD,CMA1,COL18A1,CXCL12,MMP9,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PNPLA3,SELP,TPSAB1/TPSB2"
Notch Signaling	2.1	0.162	0.447	"FURIN,HEY2,JAG1,JAG2,NOTCH1,NUMBL"
Complement System	2.1	0.162	-0.816	"C1S,CFB,CFH,CFI,MASP1,SERPING1"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	2.08	0.123	-0.333	"ADCYAP1,ADRB1,GLP1R,GNA14,PLCD3,PLCD4,PLCH2,PRKACB,VIP"
Phospholipases	1.98	0.127	2.121	"PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PLCD3,PLCD4,PLCH2,PNPLA3"
HOTAIR Regulatory Pathway	1.97	0.0938	1.069	"CDH1,CDKN1A,H3C3,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,PCDH10,SNAI2,SPP1,TCF7L1,TWIST2,WNT7B"
Sonic Hedgehog Signaling	1.94	0.172	#NUM!	"CCNB1,CDK1,GLI2,GLI3,PRKACB"
Nicotine Degradation II	1.9	0.123	2.828	"CYP19A1,CYP1B1,CYP2S1,CYP4X1,FMO1,FMO3,FMO4,UGT2B7"
BEX2 Signaling Pathway	1.87	0.114	0.333	"CDKN1A,ITGB6,MMP2,NGF,NGFR,PGF,PPP2R2B,SPP1,TCF7L1"
Factors Promoting Cardiogenesis in Vertebrates	1.86	0.0933	2.673	"ACVR1C,BMP7,CAMK2B,FZD1,MYOCD,NOX4,PLCD3,PLCD4,PLCH2,SMAD9,TCF7L1,TGFB2,TGFB3,WNT7B"
Eicosanoid Signaling	1.86	0.121	1.342	"AKR1C3,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PNPLA3,PTGES,PTGIR"
Leukocyte Extravasation Signaling	1.83	0.0863	2.138	"BMX,CLDN1,CLDN10,CLDN11,CXCL12,EDIL3,ITGA2,ITGA3,ITGB3,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,THY1,TIMP2"
Chondroitin Sulfate Biosynthesis	1.76	0.125	0.378	"B3GAT2,CHST3,CHSY3,SULT1C2,SULT1C4,SULT2B1,SULT4A1"
p53 Signaling	1.71	0.102	1.897	"ADGRB1,BIRC5,CDKN1A,CHEK1,SERPINB5,SNAI2,TP53AIP1,TP63,TP73,TRIM29"
Cardiac Hypertrophy Signaling (Enhanced)	1.7	0.0698	4.004	"ACVR1C,ADRB1,AGT,CACNA1E,CAMK2B,EDNRA,FGF1,FGF10,FGF7,FGFR1,FGFR3,FZD1,GNA14,HSPB1,IL13RA2,IL17RD,IL1RL1,ITGA2,ITGA3,MYOCD,NFATC4,NGFR,PDE10A,PDE1B,PDE3B,PDE4C,PLCD3,PLCD4,PLCH2,PRKACB,TGFB2,TGFB3,TNFSF15,WNT7B"
Synaptic Long Term Depression	1.68	0.0847	2.5	"CACNA1E,CACNA1G,CACNB1,GNA14,GNAO1,GUCY1A1,NPR3,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PLCD3,PLCD4,PLCH2,PNPLA3,PPP2R2B"
Aryl Hydrocarbon Receptor Signaling	1.68	0.0909	-2.121	"ALDH1A2,ALDH4A1,CCNA2,CDKN1A,CHEK1,CYP1B1,GSTA1,HSPB1,NR2F1,RXRG,TGFB2,TGFB3,TP73"
White Adipose Tissue Browning Pathway	1.66	0.093	2.887	"BMP7,CACNA1E,CACNA1G,CACNB1,CAMP,FCER1A,FGFR1,FGFR3,GUCY1A1,PRDM16,PRKACB,RXRG"
Dermatan Sulfate Biosynthesis	1.64	0.119	0.378	"B3GAT2,CHST3,CHSY3,SULT1C2,SULT1C4,SULT2B1,SULT4A1"
nNOS Signaling in Neurons	1.61	0.128	#NUM!	"CAPN5,CAPN6,CAPN9,DLG4,GRIN2A,GRIN2C"
Noradrenaline and Adrenaline Degradation	1.6	0.143	1.342	"ADH1A,ADH4,ALDH1A2,ALDH4A1,IL4I1"
Acute Phase Response Signaling	1.58	0.0838	2.828	"A2M,AGT,C1S,CFB,CP,CRABP2,FN1,HP,LBP,NGFR,RBP7,SAA1,SAA2,SERPINF1,SERPING1"
Chondroitin Sulfate Biosynthesis (Late Stages)	1.57	0.125	0.816	"CHST3,CHSY3,SULT1C2,SULT1C4,SULT2B1,SULT4A1"
Estrogen Receptor Signaling	1.55	0.0732	2.858	"AGT,CACNA1E,CDKN1A,DLG4,FBXO32,GNA14,GNAO1,IGF2,LEPR,MDK,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,NOTCH1,PGF,PLCD3,PLCD4,PLCH2,PRKACB,SNAI1,TBL1Y"
"Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis"	1.54	0.0737	#NUM!	"CAMK2B,CXCL12,DKK2,DKK3,FN1,FRZB,FZD1,GNAO1,IL1RAPL1,IL1RL1,NFATC4,NGFR,PGF,PLCD3,PLCD4,PLCH2,ROR2,SFRP1,SFRP2,SFRP4,SFRP5,TCF7L1,WNT7B"
Bupropion Degradation	1.52	0.16	2	"CYP19A1,CYP1B1,CYP2S1,CYP4X1"
Estrogen-mediated S-phase Entry	1.46	0.154	-1	"CCNA2,CDK1,CDKN1A,E2F7"
Apelin Liver Signaling Pathway	1.46	0.154	2	"AGT,COL18A1,EDN3,PDGFRB"
Superpathway of Melatonin Degradation	1.44	0.108	1.89	"CYP19A1,CYP1B1,CYP2S1,CYP4X1,IL4I1,SULT1C4,UGT2B7"
Regulation of Cellular Mechanics by Calpain Protease	1.44	0.108	1.89	"CAPN5,CAPN6,CAPN9,CCNA2,CDK1,ITGA2,ITGA3"
Phagosome Formation	1.41	0.088	#NUM!	"FCER1A,FN1,ITGA2,ITGA3,MRC2,PLCD3,PLCD4,PLCH2,RHOJ,RHOV,RND2"
Cyclins and Cell Cycle Regulation	1.39	0.0988	-2.121	"CCNA2,CCNB1,CDK1,CDKN1A,E2F7,PPP2R2B,TGFB2,TGFB3"
Serotonin Degradation	1.38	0.104	1.89	"ADH1A,ADH4,ALDH1A2,ALDH4A1,IL4I1,SULT1C4,UGT2B7"
Amyotrophic Lateral Sclerosis Signaling	1.35	0.0928	0.707	"CACNA1E,CAPN5,CAPN6,CAPN9,GRIK2,GRIK3,GRIN2A,GRIN2C,PGF"
Senescence Pathway	1.35	0.0727	1.342	"ACVR1C,CACNA1E,CAPN5,CAPN6,CAPN9,CBX2,CCNB1,CDK1,CDKN1A,CHEK1,E2F7,NFATC4,PDK4,PPP2R2B,SAA1,SAA2,SMAD6,SMAD9,TGFB2,TGFB3"
Endocannabinoid Neuronal Synapse Pathway	1.35	0.0859	1.508	"CACNA1E,CACNA1G,CACNB1,GNA14,GNAO1,GRIN2A,GRIN2C,PLCD3,PLCD4,PLCH2,PRKACB"
Estrogen Biosynthesis	1.34	0.122	2.236	"AKR1C3,CYP19A1,CYP1B1,CYP2S1,CYP4X1"
Histamine Biosynthesis	1.32	1	#NUM!	HDC
TR/RXR Activation	1.31	0.0952	#NUM!	"ADRB1,AKR1C3,COL6A3,DIO3,HP,PDE3B,RXRG,TBL1Y"
cAMP-mediated signaling	1.3	0.0746	1.213	"ADORA1,ADORA2B,ADRB1,CAMK2B,DUSP4,GLP1R,GNAO1,NPR3,PDE10A,PDE1B,PDE3B,PDE4C,PKIB,PRKACB,PTGIR,PTH1R,RGS4"
Ephrin Receptor Signaling	1.27	0.0778	1	"ARHGEF15,CXCL12,EFNB3,EPHA5,EPHB3,FGF1,GNA14,GNAO1,GRIN2A,GRIN2C,ITGA2,ITGA3,PAK5,PGF"
Airway Pathology in Chronic Obstructive Pulmonary Disease	1.27	0.25	#NUM!	"MMP2,MMP9"
Adrenomedullin signaling pathway	1.27	0.0761	2.138	"CFH,GNA14,GUCY1A1,MMP2,NPR3,PLCD3,PLCD4,PLCH2,PRKACB,RXRG,TFAP2A,TFAP2B,TFAP2C,TFAP2E,TTN"
Dopamine Degradation	1.27	0.133	1	"ALDH1A2,ALDH4A1,IL4I1,SULT1C4"
Acetone Degradation I (to Methylglyoxal)	1.27	0.133	2	"CYP19A1,CYP1B1,CYP2S1,CYP4X1"
Glutamate Receptor Signaling	1.25	0.105	0.447	"DLG4,GRIK2,GRIK3,GRIN2A,GRIN2C,SLC1A7"
Melatonin Signaling	1.24	0.0972	1.134	"CAMK2B,GNAO1,PLCD3,PLCD4,PLCH2,PRKACB,RORB"
p38 MAPK Signaling	1.23	0.0847	1.897	"H3C3,HSPB1,IL1RAPL1,IL1RL1,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,TGFB2,TGFB3"
GADD45 Signaling	1.22	0.158	#NUM!	"CCNB1,CDK1,CDKN1A"
Molecular Mechanisms of Cancer	1.21	0.0665	#NUM!	"ARHGEF15,ARHGEF4,BMP7,CAMK2B,CDH1,CDK1,CDK15,CDKN1A,CHEK1,E2F7,FZD1,GNA14,GNAO1,ITGA2,ITGA3,NOTCH1,PAK5,PRKACB,RHOJ,RHOV,RND2,SMAD6,SMAD9,TGFB2,TGFB3,WNT7B"
STAT3 Pathway	1.21	0.0815	2.646	"CDKN1A,FGFR1,FGFR3,IL13RA2,IL17RD,IL1RL1,NGFR,NTRK1,NTRK2,PDGFRB,TGFB2"
Colorectal Cancer Metastasis Signaling	1.19	0.0711	2	"BIRC5,CDH1,FZD1,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,PGF,PRKACB,RHOJ,RHOV,RND2,TCF7L1,TGFB2,TGFB3,WNT7B"
Glioma Invasiveness Signaling	1.19	0.0946	1.134	"ITGB3,MMP2,MMP9,RHOJ,RHOV,RND2,TIMP2"
Ethanol Degradation II	1.18	0.125	2	"ADH1A,ADH4,ALDH1A2,ALDH4A1"
Pathogenesis of Multiple Sclerosis	1.18	0.222	#NUM!	"CCR5,CXCL9"
Iron homeostasis signaling pathway	1.17	0.0803	#NUM!	"ATP6V0A4,ATP6V1B1,ATP6V1C2,BMP7,CP,FTH1,GDF15,HEPH,HP,PDGFRB,STEAP3"
Semaphorin Signaling in Neurons	1.17	0.1	#NUM!	"NRP1,PAK5,PLXNB1,RHOJ,RHOV,RND2"
Melatonin Degradation I	1.17	0.1	2.449	"CYP19A1,CYP1B1,CYP2S1,CYP4X1,SULT1C4,UGT2B7"
SPINK1 Pancreatic Cancer Pathway	1.17	0.1	-2.449	"CPA3,CPA4,KLK5,KLK6,KLK7,MMP12"
Gustation Pathway	1.16	0.0779	#NUM!	"CACNA1E,CACNA1G,CACNB1,P2RY2,PDE10A,PDE1B,PDE3B,PDE4C,PRKACB,SCNN1A,SCNN1B,TAS1R3"
Dermatan Sulfate Biosynthesis (Late Stages)	1.16	0.109	0.447	"CHST3,SULT1C2,SULT1C4,SULT2B1,SULT4A1"
PFKFB4 Signaling Pathway	1.16	0.109	1.342	"AMPD1,PRKACB,TGFB2,TGFB3,XDH"
Circadian Rhythm Signaling	1.14	0.121	#NUM!	"ADCYAP1,GRIN2A,GRIN2C,VIP"
Xenobiotic Metabolism CAR Signaling Pathway	1.13	0.0741	2.673	"ALDH1A2,ALDH4A1,CHST3,FMO1,FMO3,FMO4,GSTA1,PPP2R2B,SOD3,SULT1C2,SULT1C4,SULT2B1,SULT4A1,UGT2B7"
CDK5 Signaling	1.12	0.0833	1.134	"ITGA2,ITGA3,LAMA1,NGF,NGFR,NTRK2,PPP1R14C,PPP2R2B,PRKACB"
Wnt/Ca+ pathway	1.11	0.0968	2.449	"FZD1,NFATC4,PLCD3,PLCD4,PLCH2,ROR1"
Putrescine Degradation III	1.11	0.143	#NUM!	"ALDH1A2,ALDH4A1,IL4I1"
MIF-mediated Glucocorticoid Regulation	1.1	0.118	1	"PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F"
Retinoate Biosynthesis I	1.1	0.118	1	"ADH4,AKR1C3,ALDH1A2,RBP7"
Prostanoid Biosynthesis	1.09	0.2	#NUM!	"CYP2S1,PTGES"
Heparan Sulfate Biosynthesis	1.09	0.0897	0.378	"B3GAT2,CHST3,EXTL1,SULT1C2,SULT1C4,SULT2B1,SULT4A1"
Agrin Interactions at Neuromuscular Junction	1.07	0.0886	1.633	"AGRN,ITGA2,ITGA3,ITGB3,LAMA2,NRG3,PAK5"
Neuroinflammation Signaling Pathway	1.05	0.0667	0.229	"ACVR1C,BIRC5,CX3CL1,CX3CR1,CXCL12,FZD1,GABRP,GRIN2A,GRIN2C,MFGE8,MMP9,NFATC4,NGF,NOX4,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,TGFB2,TGFB3"
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	1.04	0.0804	1	"CACNA1E,CACNA1G,CACNB1,GNA14,PLCD3,PLCD4,PLCH2,PRKACB,TAS1R3"
TGF-_ Signaling	1.04	0.0833	-0.816	"ACVR1C,BMP7,PITX2,SMAD6,SMAD9,TGFB2,TGFB3,VDR"
Netrin Signaling	1.03	0.0923	1.633	"CACNA1E,CACNA1G,CACNB1,NFATC4,PRKACB,UNC5B"
Reelin Signaling in Neurons	1.03	0.0775	1.265	"ARHGEF15,ARHGEF4,CAMK2B,DCX,GRIN2A,GRIN2C,ITGA2,ITGA3,ITGB3,PDK4"
Alanine Degradation III	1.03	0.5	#NUM!	GPT
Alanine Biosynthesis II	1.03	0.5	#NUM!	GPT
4-hydroxyproline Degradation I	1.03	0.5	#NUM!	ALDH4A1
Dopamine-DARPP32 Feedback in cAMP Signaling	1.02	0.0736	0.632	"CACNA1E,GRIN2A,GRIN2C,GUCY1A1,KCNJ11,KCNJ12,PLCD3,PLCD4,PLCH2,PPP1R14C,PPP2R2B,PRKACB"
G_12/13 Signaling	1.01	0.0769	-2.53	"CDH1,CDH11,CDH13,CDH15,CDH19,CDH24,CDH3,CDH6,CDH8,F2RL2"
Cellular Effects of Sildenafil (Viagra)	0.996	0.0763	#NUM!	"CACNA1E,GUCY1A1,PDE1B,PDE3B,PDE4C,PLCD3,PLCD4,PLCH2,PRKACB,SLC4A11"
Glioblastoma Multiforme Signaling	0.991	0.0727	2.714	"CDKN1A,E2F7,FZD1,IGF2,PDGFRB,PLCD3,PLCD4,PLCH2,RHOJ,RHOV,RND2,WNT7B"
Glutathione Redox Reactions I	0.971	0.125	#NUM!	"GPX2,GPX3,GSTA1"
Guanosine Nucleotides Degradation III	0.955	0.167	#NUM!	"NT5E,XDH"
Neuropathic Pain Signaling In Dorsal Horn Neurons	0.943	0.0792	0.707	"CAMK2B,GRIN2A,GRIN2C,NTRK2,PLCD3,PLCD4,PLCH2,PRKACB"
"Tryptophan Degradation X (Mammalian, via Tryptamine)"	0.932	0.12	#NUM!	"ALDH1A2,ALDH4A1,IL4I1"
CREB Signaling in Neurons	0.896	0.0676	1	"CACNA1E,CACNA1G,CACNB1,CAMK2B,GNA14,GNAO1,GRIK2,GRIK3,GRIN2A,GRIN2C,PLCD3,PLCD4,PLCH2,PRKACB"
Heparan Sulfate Biosynthesis (Late Stages)	0.896	0.0845	0.816	"CHST3,EXTL1,SULT1C2,SULT1C4,SULT2B1,SULT4A1"
Urate Biosynthesis/Inosine 5'-phosphate Degradation	0.896	0.154	#NUM!	"NT5E,XDH"
"Bile Acid Biosynthesis, Neutral Pathway"	0.896	0.154	#NUM!	"AKR1C3,AMACR"
ILK Signaling	0.889	0.0684	2.714	"CDH1,DSP,FN1,ITGB3,ITGB6,MMP9,PGF,PPP2R2B,RHOJ,RHOV,RND2,SNAI1,SNAI2"
Nicotine Degradation III	0.879	0.0893	2.236	"CYP19A1,CYP1B1,CYP2S1,CYP4X1,UGT2B7"
Basal Cell Carcinoma Signaling	0.876	0.0833	0.447	"BMP7,FZD1,GLI2,GLI3,TCF7L1,WNT7B"
Xenobiotic Metabolism PXR Signaling Pathway	0.863	0.0677	0.832	"ALDH1A2,ALDH4A1,CAMK2B,CHST3,GSTA1,IL4I1,PPP1R14C,PRKACB,SULT1C2,SULT1C4,SULT2B1,SULT4A1,UGT2B7"
L-carnitine Biosynthesis	0.86	0.333	#NUM!	BBOX1
Uracil Degradation II (Reductive)	0.86	0.333	#NUM!	DPYS
Proline Degradation	0.86	0.333	#NUM!	ALDH4A1
Thyronamine and Iodothyronamine Metabolism	0.86	0.333	#NUM!	DIO3
Thymine Degradation	0.86	0.333	#NUM!	DPYS
Thyroid Hormone Metabolism I (via Deiodination)	0.86	0.333	#NUM!	DIO3
Caveolar-mediated Endocytosis Signaling	0.857	0.0822	#NUM!	"ITGA10,ITGA2,ITGA3,ITGA7,ITGB3,ITGB6"
Role of CHK Proteins in Cell Cycle Checkpoint Control	0.857	0.0877	0.447	"CDK1,CDKN1A,CHEK1,E2F7,PPP2R2B"
ERK/MAPK Signaling	0.851	0.0674	0.277	"DUSP4,H3C3,HSPB1,ITGA2,ITGA3,PAK5,PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PPP1R14C,PPP2R2B,PRKACB"
MIF Regulation of Innate Immunity	0.848	0.0952	1	"PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F"
Intrinsic Prothrombin Activation Pathway	0.848	0.0952	2	"COL18A1,KLK5,KLK6,KLK7"
Retinol Biosynthesis	0.848	0.0952	1	"AKR1C3,CEL,PNPLA3,RBP7"
Cardiac _-adrenergic Signaling	0.845	0.0709	-0.632	"ADRB1,CACNA1E,PDE10A,PDE1B,PDE3B,PDE4C,PKIB,PPP1R14C,PPP2R2B,PRKACB"
Leptin Signaling in Obesity	0.836	0.0811	#NUM!	"LEPR,PDE3B,PLCD3,PLCD4,PLCH2,PRKACB"
Integrin Signaling	0.827	0.0657	2.673	"CAPN5,CAPN6,CAPN9,ITGA10,ITGA2,ITGA3,ITGA7,ITGB3,ITGB6,PAK5,RHOJ,RHOV,RND2,TTN"
tRNA Splicing	0.821	0.093	1	"PDE10A,PDE1B,PDE3B,PDE4C"
Protein Kinase A Signaling	0.815	0.0603	0.447	"CAMK2B,DUSP4,GLI3,H1-5,H3C3,NFATC4,NGFR,PDE10A,PDE1B,PDE3B,PDE4C,PLCD3,PLCD4,PLCH2,PPP1R14C,PRKACB,PTPRD,PTPRQ,PTPRZ1,TCF7L1,TGFB2,TGFB3,TNNI2,TTN"
PTEN Signaling	0.812	0.0714	-2.333	"CDKN1A,FGFR1,FGFR3,ITGA2,ITGA3,NGFR,NTRK1,NTRK2,PDGFRB"
Pancreatic Adenocarcinoma Signaling	0.81	0.0734	0.447	"BIRC5,CDKN1A,E2F7,MMP9,NOTCH1,PGF,TGFB2,TGFB3"
Antioxidant Action of Vitamin C	0.81	0.0734	-2.121	"PLA2G2A,PLA2G2D,PLA2G3,PLA2G4F,PLCD3,PLCD4,PLCH2,PNPLA3"
Adenosine Nucleotides Degradation II	0.793	0.133	#NUM!	"NT5E,XDH"
G-Protein Coupled Receptor Signaling	0.783	0.0625	#NUM!	"ADORA1,ADORA2B,ADRB1,CAMK2B,DUSP4,GLP1R,GNA14,GNAO1,NPR3,PDE10A,PDE1B,PDE3B,PDE4C,PRKACB,PTGIR,PTH1R,RGS4"
Tec Kinase Signaling	0.772	0.0671	3	"BMX,FCER1A,GNA14,GNAO1,ITGA2,ITGA3,PAK5,RHOJ,RHOV,RND2,TNFRSF21"
Synaptic Long Term Potentiation	0.77	0.0698	-0.333	"CAMK2B,GNA14,GRIN2A,GRIN2C,PLCD3,PLCD4,PLCH2,PPP1R14C,PRKACB"
HIF1_ Signaling	0.75	0.0708	#NUM!	"EGLN3,MMP11,MMP12,MMP16,MMP2,MMP7,MMP9,PGF"
Retinoate Biosynthesis II	0.747	0.25	#NUM!	RBP7
Androgen Biosynthesis	0.747	0.125	#NUM!	"AKR1C3,GSTA1"
Phenylethylamine Degradation I	0.747	0.25	#NUM!	AOC3
