	logFC	logCPM	LR	PValue	FDR	gene
SFRP2	3.48524942139204	5.66375667865925	32.4736514273719	1.20819548338982e-08	1.17233038916212e-05	SFRP2
RN7SL5P	-2.99784949382408	2.28670083443686	32.426483644348	1.23787903119491e-08	1.17233038916212e-05	RN7SL5P
RN7SL128P	-2.79456669397796	5.12088376505994	32.2788538786771	1.33558951207259e-08	1.20737291891363e-05	RN7SL128P
RN7SL597P	-3.54016764483407	0.422882477303388	31.1550415896743	2.38219853579935e-08	2.05987671652076e-05	RN7SL597P
RN7SL564P	-3.40147294674305	0.575010089865881	29.9971282281563	4.32686636558032e-08	3.58552992827756e-05	RN7SL564P
SNORA74B	-3.09448557906167	4.44759182324414	29.9059502244759	4.53518912152495e-08	3.60783364995553e-05	SNORA74B
GPM6B	1.47426942655489	5.7297785333136	29.2835111532634	6.25254835738349e-08	4.78271852814011e-05	GPM6B
LCN1	9.80139094093811	2.29799452542944	28.7742370027255	8.13257631077603e-08	5.99039546921162e-05	LCN1
RN7SL587P	-3.18946953472111	0.483796980078941	28.5170460400997	9.28771905647987e-08	6.59693416411685e-05	RN7SL587P
RN7SL116P	-2.63406554713315	0.594239285017778	27.9452641658042	1.24796016537606e-07	8.37976252721207e-05	RN7SL116P
NES	1.73597570160075	5.74954404515497	27.9204868217408	1.26404301999378e-07	8.37976252721207e-05	NES
SUSD5	2.25409762085237	2.1925558172833	27.1198523922709	1.91224088572882e-07	0.000122679505597983	SUSD5
ADGRA2	1.38001871323023	5.044335580251	27.0438627127517	1.9889069140573e-07	0.000123610564708661	ADGRA2
RN7SL452P	-2.35659165862017	3.03793756829685	26.8722556671654	2.1735684073536e-07	0.000128431526514879	RN7SL452P
RN7SL296P	-2.63979904810955	1.93814877376137	26.8527372593742	2.1956314870806e-07	0.000128431526514879	RN7SL296P
RN7SL300P	-3.14185317571137	0.316885261851173	26.5067288801965	2.62621743740048e-07	0.000149229178271488	RN7SL300P
RN7SL4P	-2.26070159555748	5.40501034042913	26.4141359348244	2.75516747919931e-07	0.000152207696739766	RN7SL4P
KRT81	2.93238827428049	1.13952432225141	26.3495610353558	2.84883649551603e-07	0.000153128811413035	KRT81
LGR5	3.60409370229478	2.70114551973671	26.2966847449983	2.92790845371912e-07	0.000153237482440963	LGR5
MOGAT2	2.44797679416225	0.71747391778066	26.0961982500803	3.24822954990526e-07	0.000165643049457733	MOGAT2
GSN	0.936096726835118	6.55521100854978	25.6524057838967	4.08785541599902e-07	0.000200939086110214	GSN
RN7SL8P	-3.69735218514792	0.0460022626958848	25.626804991651	4.14244897954483e-07	0.000200939086110214	RN7SL8P
RN7SL838P	-2.49029161058063	1.50384815076619	25.4757638954855	4.47975155648039e-07	0.000212126902274481	RN7SL838P
PTN	2.38049447320279	5.19706010201138	25.3969617628748	4.66652492607415e-07	0.000215832204022704	PTN
RN7SL396P	-2.20524851097552	2.56048386597278	25.2705739032885	4.98252417338603e-07	0.000225210092637049	RN7SL396P
RN7SL105P	-2.35673068505329	1.09254892221604	24.988379599145	5.76768859601317e-07	0.000249828863187625	RN7SL105P
MFAP4	1.408184273944	4.46092553200299	24.9847945870532	5.77842302223992e-07	0.000249828863187625	MFAP4
FZD1	1.46317232611603	5.18557345566507	24.8521400447897	6.1900288172161e-07	0.000261930410886795	FZD1
RN7SL836P	-2.98327977693309	0.764112342029274	24.5855332653639	7.10833848708739e-07	0.000294522157981654	RN7SL836P
NLGN4X	1.78119468573801	2.19498706368812	24.3006292345889	8.24121364694419e-07	0.000329994737788409	NLGN4X
RN7SL40P	-2.68068572078812	0.604558522642924	24.2244445013562	8.57371661669959e-07	0.000329994737788409	RN7SL40P
C2orf54	2.36024235327482	0.312845776279517	24.2204181263063	8.59165905148276e-07	0.000329994737788409	C2orf54
RN7SL118P	-2.76913379324452	0.87702894702164	24.2122483974102	8.62818099607666e-07	0.000329994737788409	RN7SL118P
OPRPN	4.89962872865311	2.25947212620246	24.036707224374	9.45165135838852e-07	0.000350175713106698	OPRPN
SEMA3B	1.62543439574618	4.23645736327987	24.0028504681608	9.61931845717542e-07	0.000350175713106698	SEMA3B
GRIK3	2.3154680218595	3.24681065318132	23.9899348618462	9.68406286246398e-07	0.000350175713106698	GRIK3
BNC1	2.51808648229901	0.363741470324795	23.8716612248245	1.02976575057869e-06	0.000365713950848375	BNC1
COMP	3.40206287246757	0.820395711515796	23.6527164429261	1.15382922526903e-06	0.00039863565753611	COMP
SCD5	1.73768386158198	4.59392872303566	23.6382203571159	1.16255370761738e-06	0.00039863565753611	SCD5
RN7SL3	-2.17531211563035	5.79189977795922	23.5419224922572	1.22221448465635e-06	0.000411989858827888	RN7SL3
NID1	1.1506392613102	5.4346676298743	23.490148375407	1.2555503492553e-06	0.000416173089099822	NID1
HES2	5.77393219256715	1.42827427800807	23.4539369775822	1.27940631901095e-06	0.000417128407745733	HES2
RN7SL674P	-2.59321346405817	5.6427266762471	23.3549989358862	1.34693008491175e-06	0.000423735530268344	RN7SL674P
PEAR1	1.30521437066858	3.66434430755629	23.3508025317315	1.3498717896626e-06	0.000423735530268344	PEAR1
RN7SL151P	-2.39483779657528	2.99394880285482	23.3313538410087	1.36358979973723e-06	0.000423735530268344	RN7SL151P
DSG3	4.4580635335358	2.41511145050948	23.2657201920858	1.4109245975985e-06	0.000431699513800598	DSG3
JAG1	1.09707203681298	6.24046217702225	23.2020014857008	1.45845457377876e-06	0.000436353618220996	JAG1
BARX1	2.55373414013895	1.58147692519351	23.1868162827534	1.47001671464233e-06	0.000436353618220996	BARX1
LINC00284	2.94057377243823	2.24764661945437	23.0523819073733	1.57647081185103e-06	0.000461071345677842	LINC00284
PNMA8A	2.05345626751539	3.74516786873974	22.8864111003383	1.71862578897617e-06	0.000485830586884776	PNMA8A
AC079298.3	3.24301904533483	0.499220191644395	22.8854239349756	1.71950866956702e-06	0.000485830586884776	AC079298.3
C1QTNF12	2.9482886390691	-0.135981717329593	22.8688373228434	1.73441128664617e-06	0.000485830586884776	C1QTNF12
PLP1	1.61675359841911	4.04795177520493	22.8347950654097	1.76540438187069e-06	0.000487643921481169	PLP1
AL359649.1	-3.3356097589512	0.148495042241631	22.7786958983558	1.81769557269845e-06	0.000488269842759604	AL359649.1
EDA2R	2.06166331329226	3.434147676858	22.7685770033704	1.82729168115349e-06	0.000488269842759604	EDA2R
CORO2B	1.51580904601223	2.09587842023555	22.7538764828434	1.84132332094581e-06	0.000488269842759604	CORO2B
RN7SKP79	-3.01907981174358	0.265847076776337	22.6202970162484	1.97388268662554e-06	0.000516533932521167	RN7SKP79
GATD3A	-6.49521982556565	-0.250278849852079	22.3377337353644	2.28668963253298e-06	0.000588081066387018	GATD3A
FMOD	1.45923097726171	5.69734088635871	22.2986343539185	2.33372515953907e-06	0.000588081066387018	FMOD
LOXL4	1.74304883140473	5.17112780481657	22.296761938131	2.33600182243436e-06	0.000588081066387018	LOXL4
PTCHD4	1.94172062586641	3.16045129264466	22.0170108285949	2.70244688070877e-06	0.000671828294544201	PTCHD4
GNA14	-1.46375057736032	3.76481234664013	21.6824361916267	3.21723526187673e-06	0.000776462753154354	GNA14
TFF3	-3.14683143774897	4.8412457391621	21.6732925784531	3.23260730653758e-06	0.000776462753154354	TFF3
COX14	-1.09866338243194	4.43100520700006	21.668634286231	3.24046704102028e-06	0.000776462753154354	COX14
NKX3-1	-2.20450389009626	4.36921304142086	21.5911208433737	3.37410249559225e-06	0.000798858933718318	NKX3-1
GPR87	2.76148013037983	3.24687219763024	21.2829727655607	3.96235506486442e-06	0.000927097853294394	GPR87
RN7SL322P	-3.08629076124419	0.202646567458179	21.2509702869925	4.0290636555605e-06	0.000931744395137061	RN7SL322P
DSG1	3.74649676248916	4.085395002906	21.05625080197	4.45995516650489e-06	0.00101953549829252	DSG1
SFRP1	1.39983282301173	9.14004785126371	21.0083353370852	4.5728956111117e-06	0.00103347440811124	SFRP1
SLC12A2	1.34855887868761	9.87064690321415	20.9819435744582	4.63632433102845e-06	0.00103603616062353	SLC12A2
MCHR1	3.89917752082575	-0.0731956419816622	20.8244983578744	5.03349741285775e-06	0.0011122910727435	MCHR1
GPR153	1.11698426077802	2.78103676621236	20.6516161018937	5.50906662079349e-06	0.00120400348301473	GPR153
RN7SL60P	-2.79000259091316	0.389799279044008	20.6053243252362	5.64389326166364e-06	0.00121952445877631	RN7SL60P
ADGRB2	1.89599144501721	1.77228074155624	20.5854720102254	5.70272398764062e-06	0.00121952445877631	ADGRB2
GPC3	1.36126288855751	4.78410126101952	20.5280142619189	5.8764872464818e-06	0.0012433146633833	GPC3
TBX2	1.36900384927742	3.1883187180282	20.4998736733821	5.96351870928233e-06	0.00124844694831797	TBX2
LINC00475	2.85628130165863	-0.0731714232004284	20.4293979543396	6.1872018196848e-06	0.00128178197697803	LINC00475
SCARNA6	-2.1039930431018	6.06475588408474	20.3753676119165	6.36437615252423e-06	0.00128555694353236	SCARNA6
MPV17L	1.83712583845229	2.55375878268514	20.3698116545966	6.38288137763589e-06	0.00128555694353236	MPV17L
SNORA22C	-2.15937670811349	2.22795607740569	20.3648827772704	6.39934319236242e-06	0.00128555694353236	SNORA22C
ALDH4A1	1.27587551295202	2.39581293524551	20.2881509187438	6.66118361837131e-06	0.00132477619802169	ALDH4A1
ADAM33	1.49457087190425	4.51027809867599	20.0334113245326	7.61008188553256e-06	0.0014985080053413	ADAM33
PLAT	1.73187791938594	5.05445715129758	19.7714345105772	8.72773673019359e-06	0.00169322936200049	PLAT
GDF10	1.63879501026407	2.29263752854543	19.7502068538894	8.82521418991215e-06	0.00169322936200049	GDF10
PMP22	1.03114414821511	5.11223519377435	19.7439017604975	8.85437719469284e-06	0.00169322936200049	PMP22
TM7SF2	-1.35460989313615	5.26823735173417	19.6797665903714	9.15657620163926e-06	0.00173434273807811	TM7SF2
NDUFA2	-1.03824606174972	4.22533488578613	19.6099569488984	9.49729642750929e-06	0.00178079567727319	NDUFA2
EFNB3	2.3047217131848	0.792256112210065	19.5932098157674	9.58090996923929e-06	0.00178079567727319	EFNB3
IGFBP7	1.34023729678895	7.25812993006992	19.2213667608545	1.16403205586312e-05	0.00214354347472274	IGFBP7
ADAM23	1.89891448657172	2.45016099253109	19.1528610674951	1.2065651202374e-05	0.00219032943625779	ADAM23
SAA1	2.43337342472995	5.97580373176899	19.145124753034	1.21146539616028e-05	0.00219032943625779	SAA1
DDR2	0.970761775682471	6.61489285406461	19.015092914162	1.29688577484727e-05	0.00230443465819309	DDR2
RNU5A-1	-2.61736404195304	1.53039364356495	19.0000043022761	1.30718158931437e-05	0.00230443465819309	RNU5A-1
FBLN1	1.52056392901886	5.59139583079292	18.9870975814685	1.31605369190182e-05	0.00230443465819309	FBLN1
NCCRP1	2.97221164121787	0.120697697054276	18.9800482338436	1.32092493480497e-05	0.00230443465819309	NCCRP1
LAMA2	1.40695040839772	7.47238063131555	18.9490645280972	1.3425509161664e-05	0.00232179588006239	LAMA2
RN7SKP230	-2.71981097419804	0.442849504961369	18.8891565870978	1.38537908748509e-05	0.00237520855964685	RN7SKP230
SLITRK2	2.2206128821696	0.727902682074692	18.8090648596354	1.44478808841992e-05	0.00245589277799106	SLITRK2
RORB	1.59589291193642	3.0016601274959	18.7771795146901	1.4691455604683e-05	0.00246025625809271	RORB
CDH15	3.77254999480327	0.128463660360737	18.7733530460463	1.47209621235435e-05	0.00246025625809271	CDH15
ALPL	1.7353699852453	2.78172606600354	18.7183699271228	1.51515778501166e-05	0.00251112150235932	ALPL
ZMAT3	1.44503776158072	6.04195979534992	18.6471698088018	1.57280572656861e-05	0.00258512068512367	ZMAT3
MCC	1.22981428688306	6.27021897154612	18.556021316458	1.64983241975718e-05	0.00268949730853531	MCC
RN7SL555P	-2.53299330850654	1.81601899152697	18.3476893484824	1.84042053883732e-05	0.00295322443899395	RN7SL555P
HIST1H4H	-1.14746526523235	4.8107930940084	18.3354182350355	1.85231264933876e-05	0.00295322443899395	HIST1H4H
CRABP2	2.74471436376115	3.76134371907863	18.3314654438359	1.85615976907805e-05	0.00295322443899395	CRABP2
NCAM1	1.37775176818669	3.45913670523599	18.2452980142528	1.94204757211849e-05	0.00306535254875338	NCAM1
MDFI	1.98345260915171	3.04020865466287	18.1474822717344	2.04439542118472e-05	0.00320149103437179	MDFI
RPS29	-0.956348889640451	6.89265373019061	18.1322445221946	2.06081998248767e-05	0.00320199904779022	RPS29
SOD3	1.51712350303128	2.83540568725014	18.0256758669073	2.17945530983962e-05	0.00333718283997818	SOD3
PCSK2	2.22389835016715	1.61853265741164	18.0142644502629	2.1925587838706e-05	0.00333718283997818	PCSK2
CDH6	1.39764270285033	3.09106855014466	18.0094035300912	2.19816448128088e-05	0.00333718283997818	CDH6
LINC01819	2.53974650114846	0.709712425328976	17.9303755439247	2.2913477636509e-05	0.00343392464395831	LINC01819
SNORD17	-2.31497891397323	7.12291766352374	17.9196843337167	2.30425510435808e-05	0.00343392464395831	SNORD17
SLC7A2	1.1486901355599	5.52229765019068	17.911910527548	2.31368615391399e-05	0.00343392464395831	SLC7A2
ASPA	1.31791310681202	3.5280814131314	17.8907629798546	2.33953872437217e-05	0.00344657378891213	ASPA
SERPINF1	1.17655183487727	6.12999495625884	17.8454987836576	2.39585324444036e-05	0.00350358303863456	SERPINF1
TNFRSF10C	2.40088107771953	2.34162530267838	17.7672886277882	2.49638586616386e-05	0.0036239505187056	TNFRSF10C
LINC01748	2.93218871460912	1.03805110786709	17.7276539635395	2.54894044470099e-05	0.00366981352437936	LINC01748
IGHV3OR16-13	2.12193460475328	0.0555184947750415	17.7153665628355	2.56545791099594e-05	0.00366981352437936	IGHV3OR16-13
SNORA23	-2.37701388593276	3.79784024874612	17.697943170828	2.58906404148039e-05	0.00366981352437936	SNORA23
CDH24	1.48114725535292	1.98537357191833	17.6886174649903	2.60178855057064e-05	0.00366981352437936	CDH24
MN1	1.84517571712479	2.04584743416694	17.6596777511003	2.64167697890709e-05	0.00369983603919043	MN1
RN7SL827P	-2.36770451347454	0.841262373542046	17.6217605375325	2.69487091794934e-05	0.00374794355357878	RN7SL827P
RN7SL166P	-2.62755828867036	1.44837147441223	17.5753799552836	2.761403982422e-05	0.00379793694101724	RN7SL166P
DPYS	2.60702291759008	0.130330883350491	17.5629865317078	2.77946019612776e-05	0.00379793694101724	DPYS
L1CAM	1.65897113104777	3.39919158998563	17.5570799081992	2.78810736820453e-05	0.00379793694101724	L1CAM
SOAT1	-1.23974095044385	7.20714292125435	17.5394931891418	2.81401436657838e-05	0.00380715086547692	SOAT1
PDGFRB	1.19790889061034	6.37523842621102	17.4908990428211	2.88686310183028e-05	0.00385402569690354	PDGFRB
SCGB2A2	4.96231533484833	3.70020808361788	17.4905331898661	2.8874186888507e-05	0.00385402569690354	SCGB2A2
RN7SL408P	-3.84595204342636	-0.171447682663251	17.4654452864278	2.92577481710558e-05	0.00387918730417305	RN7SL408P
AC051619.7	-3.21296744543046	0.919481554112472	17.4011459230203	3.02643459886943e-05	0.00398546401395575	AC051619.7
SLC35F1	1.67212867525678	2.25796854327073	17.3888913148666	3.04601030833304e-05	0.00398546401395575	SLC35F1
ASCL3	2.77212475489385	0.934465471062262	17.239325019899	3.29543923449091e-05	0.00428364022846766	ASCL3
IGFBP2	1.73682849111275	3.85654247603641	17.1491076273104	3.45571726068154e-05	0.00446281200522301	IGFBP2
SPOCK1	1.91118043980993	2.32897130356677	17.1219618861875	3.50546033237069e-05	0.00449784484452827	SPOCK1
TTYH1	1.79182066320604	2.8450766803817	17.103063388614	3.54051512241144e-05	0.00451370286887941	TTYH1
LHX8	2.43264246872263	0.816187819479879	17.0295732436459	3.68021398198272e-05	0.00466191692188996	LHX8
CHEK1	-1.26737943243237	2.83716179700092	16.8955003785328	3.94950957003402e-05	0.00493739890893322	CHEK1
RNU5B-1	-3.03972404595612	2.59715358156783	16.8847509768819	3.97193983044744e-05	0.00493739890893322	RNU5B-1
NTM	1.58649102363741	2.40560953894489	16.8825933455142	3.97645746456541e-05	0.00493739890893322	NTM
RN7SL210P	-2.43097933010185	1.03366501682026	16.8728182645548	3.99698926155595e-05	0.00493739890893322	RN7SL210P
RAB15	1.47529644249533	5.75689170706156	16.8022279061962	4.14845699490666e-05	0.00509287115522862	RAB15
ZFY-AS1	-3.44656475445295	1.42906770366292	16.7858566707633	4.184401732799e-05	0.00510275870418416	ZFY-AS1
PRRX1	1.2340156041436	6.88544557605746	16.7752638827993	4.20782596282282e-05	0.00510275870418416	PRRX1
PIK3R3	0.938248798888611	5.07499781858406	16.6924919150811	4.39546131273702e-05	0.00529799603561903	PIK3R3
SNORD9	-2.56492512205389	0.00990280593243901	16.6539254458517	4.48573822562287e-05	0.00537423866452938	SNORD9
PODN	1.26859713575401	4.6680304055947	16.6277422441998	4.54808839323943e-05	0.00541631029729017	PODN
HES4	1.57209586840662	2.24466752934851	16.4806070156208	4.91502450683527e-05	0.00580894298188745	HES4
GPT	-1.38514253204956	4.68343613576379	16.4724565962347	4.93619953710267e-05	0.00580894298188745	GPT
SCGN	2.44934063764256	2.00833993229726	16.4528501206318	4.98751424916504e-05	0.00583480490514084	SCGN
HSPA12A	1.09414986378413	3.84730965572394	16.4290650036163	5.05048605241234e-05	0.00587392202399863	HSPA12A
SNORA20	-2.69585572826919	1.61366320572614	16.3871930125189	5.16329230993077e-05	0.00597020682906414	SNORA20
SYNPO	1.23541308753897	4.46397430200267	16.3000951862025	5.40612358131129e-05	0.00618815950795867	SYNPO
PDE1B	1.20126281296591	2.7459136433205	16.297330365468	5.41401726862836e-05	0.00618815950795867	PDE1B
ESPN	2.03242278977209	2.15599272780632	16.2781201094352	5.46918438687322e-05	0.00621549366206483	ESPN
CHRDL1	1.38702939800228	6.24836264999863	16.2517306420941	5.54589130891748e-05	0.00626685717907675	CHRDL1
PHLDA3	0.989977611754873	4.58756586155146	16.1508225695004	5.84931614058017e-05	0.00657238414711065	PHLDA3
SNORA63D	-1.79235306729116	2.73591424290937	16.110060793744	5.97656903234935e-05	0.00667764072558224	SNORA63D
ADRB1	-1.65027771682172	4.11586206795773	16.063142757087	6.12649189314147e-05	0.0068069089816088	ADRB1
SLC16A4	0.977439264839207	3.87271000304483	15.996480706013	6.34603407838903e-05	0.00698985822746764	SLC16A4
PI3	5.13367681362003	1.73851473114763	15.991888568528	6.36144579229507e-05	0.00698985822746764	PI3
RN7SL660P	-2.37138042073951	0.305680325365828	15.9606765327593	6.46719901954286e-05	0.00706701396157519	RN7SL660P
DCHS2	2.52329534519587	2.75850120819929	15.844741986881	6.8757319820238e-05	0.00747020326249419	DCHS2
SNORA11	-2.52222080178282	0.043734616762086	15.834981135859	6.91129022676453e-05	0.00747020326249419	SNORA11
LINC01768	3.09184788780795	0.194408968169752	15.8238767818073	6.95196775478274e-05	0.00747355322741184	LINC01768
KCNK2	1.93799024148479	2.0597734254003	15.8050761526832	7.02138812523815e-05	0.00750760037821164	KCNK2
CPXM2	1.42060233241273	4.83139263479484	15.7543432359921	7.21221662191634e-05	0.00765668746769244	CPXM2
FKBP10	1.37540882838483	4.61940078325628	15.7476398942075	7.23781800043332e-05	0.00765668746769244	FKBP10
TNNI2	2.96371809376932	3.1589654491042	15.7322533332254	7.29692858318441e-05	0.00765817887961201	TNNI2
ASTN1	2.12809646724787	2.44254636891536	15.7209627615296	7.34061229940887e-05	0.00765817887961201	ASTN1
SCN7A	1.47873241429857	6.47820833093454	15.717323843421	7.35474741555659e-05	0.00765817887961201	SCN7A
FAM151A	-1.91034210826659	0.557668050780073	15.6836810012586	7.48673437404937e-05	0.0077265542980531	FAM151A
RNF150	-1.30495776832511	7.51702510045303	15.6791367800163	7.50474390597121e-05	0.0077265542980531	RNF150
IGFBP4	1.69728328933942	6.27056996910129	15.6710340390858	7.53696467127062e-05	0.0077265542980531	IGFBP4
SAA2	2.87491479224109	5.76069423984138	15.6533763112137	7.60766401749165e-05	0.00775903702460892	SAA2
KRT6B	4.94750789606315	3.59001438474463	15.6310617502216	7.69796388121963e-05	0.00776789518584792	KRT6B
RHOBTB3	-0.941617488374983	8.03611717251215	15.6280349243351	7.71029524301494e-05	0.00776789518584792	RHOBTB3
NRARP	1.92359101212966	0.651091462934376	15.6149218798179	7.76394805486427e-05	0.00776789518584792	NRARP
CACNA1G	2.30261008403401	0.438454219157124	15.6118765438882	7.77646187842468e-05	0.00776789518584792	CACNA1G
AC114488.2	2.29591688948431	0.531132728530795	15.6018290613992	7.81789285320782e-05	0.00776789518584792	AC114488.2
LCN2	3.36501036935581	6.09844020838482	15.5939112289156	7.85069857379039e-05	0.00776789518584792	LCN2
PTPRD	1.41823284196671	3.40182745493522	15.5743068929441	7.93252185874153e-05	0.00778345761751358	PTPRD
ECM1	1.6995615956114	1.80366520982861	15.5714065403182	7.94469980065998e-05	0.00778345761751358	ECM1
ENPP5	1.24556028188059	4.73983482682546	15.5338207985087	8.10422586243474e-05	0.00789765068692115	ENPP5
RN7SL711P	-2.93766034002696	3.10212189370442	15.5253364494512	8.1406797607544e-05	0.00789765068692115	RN7SL711P
COL18A1	1.45816585360963	6.92618481758466	15.4947583739606	8.27343585821461e-05	0.00798748021107632	COL18A1
GIPC2	-1.88036620511731	3.92717843336115	15.4770595961104	8.35126893538724e-05	0.00802367326507156	GIPC2
TUSC3	1.46259335471457	5.23735770890347	15.4488148829901	8.47700828212992e-05	0.00810532407283654	TUSC3
RPLP2	-0.903086815059224	7.96735606405274	15.4229979180573	8.59360548712543e-05	0.0081774940635383	RPLP2
DPYSL2	0.810640808825429	7.06629490037398	15.398755931867	8.70455827563336e-05	0.00824363118979982	DPYSL2
CCDC129	2.45456115682216	4.21578128696189	15.3850969899818	8.76770738555801e-05	0.00826090403253852	CCDC129
FAM131B	1.77957237663383	0.96525495514471	15.3768901995398	8.80587115294734e-05	0.00826090403253852	FAM131B
RASL10B	-2.33814941079005	4.0322536372831	15.3172920879916	9.0880792023935e-05	0.0084557839746787	RASL10B
PDE10A	1.08824042445378	2.97101467535766	15.3150978552003	9.09864124387189e-05	0.0084557839746787	PDE10A
TBX18	1.32401696056339	4.25214102462888	15.2757491983024	9.29015863514594e-05	0.00859361278771082	TBX18
AEBP1	1.2961211949235	6.01306402519757	15.2562596899587	9.38651479361932e-05	0.00864254658405097	AEBP1
RN7SL230P	-2.16239387322269	1.0602000045826	15.2385528888899	9.47492890835753e-05	0.00868375051287625	RN7SL230P
TM4SF18	1.08430774093907	3.46673105729767	15.2241198326907	9.54761608090185e-05	0.0087102288356411	TM4SF18
CAVIN1	0.829236460162878	7.71638919361134	15.1839350567881	9.7529629304104e-05	0.00885693729497726	CAVIN1
ROCR	1.95628360110323	3.34660625184298	15.1545950494035	9.90569436101377e-05	0.00895474770235645	ROCR
SNORA14B	-2.28567430107106	2.05466224146967	15.1356377613874	0.000100056555899455	0.00900418454175732	SNORA14B
RN7SL87P	-2.32249606516983	0.664111694509523	15.1013647342922	0.000101889602109584	0.00912783967006943	RN7SL87P
COL8A1	1.63522708753503	4.28174784920531	15.0658375577228	0.000103825410688551	0.00923883390928782	COL8A1
NRXN1	1.50392814613768	4.99330296517914	15.0601705847581	0.000104137598398398	0.00923883390928782	NRXN1
BMP7	1.95317960668439	1.13517742122849	15.0532124768832	0.000104522205832148	0.00923883390928782	BMP7
OLFML3	1.25929868465246	4.63951775312901	15.022779483981	0.000106221252134627	0.00934747018784714	OLFML3
LINC02009	2.22239502417027	3.25699172230584	15.0094781347896	0.0001069725579407	0.0093610876775074	LINC02009
FRZB	1.74425501576143	3.258463519311	15.0034048028662	0.000107317376833854	0.0093610876775074	FRZB
MAP1A	1.27849755188668	4.47277658685286	14.9911719063523	0.00010801531023833	0.00937367780993152	MAP1A
SNORA73B	-1.70171547135004	9.12660514953737	14.9843874096546	0.000108404359225877	0.00937367780993152	SNORA73B
LINC00958	1.68876043419414	1.83712438501013	14.9718606197311	0.000109126403218144	0.00939526366754308	LINC00958
RGS11	1.68440746304943	2.65684514207536	14.8974307204869	0.000113517486639454	0.00973118868226492	RGS11
DNASE1L3	1.87197486227204	2.75158297219773	14.8855036170197	0.00011423749251038	0.00975088090577872	DNASE1L3
SNORA74A	-2.65266077575126	3.8170032448568	14.8615323737402	0.000115698503094307	0.00983338388692127	SNORA74A
LINC01873	2.1680731061483	0.917460678362243	14.8239547734846	0.000118026747329848	0.00998857851445115	LINC01873
ZNF415P1	2.83239716897113	-0.0796970694254596	14.8062587901775	0.000119139437977927	0.00999151980907342	ZNF415P1
RPS5	-0.779821016638968	8.11655542362219	14.801605177568	0.000119433798035947	0.00999151980907342	RPS5
SLC39A2	1.86329665426067	1.26075771598739	14.7994768036177	0.00011956867028155	0.00999151980907342	SLC39A2
UNC5B	1.24028725251471	3.7038910129027	14.7790330557775	0.000120871998212471	0.0100581686211282	UNC5B
SPARC	1.35958600278442	8.44914799762938	14.7634575651269	0.000121874555835493	0.0100993381935678	SPARC
PHLDB1	1.22406638101042	6.52767768524583	14.7520049941004	0.000122617067554541	0.0101187063880694	PHLDB1
ZEB1	0.868010993818505	5.87021306338587	14.7280624591966	0.000124184093842497	0.010205674621238	ZEB1
STARD9	0.823221318512551	5.50016411346848	14.6938966358922	0.000126455206155903	0.0103105151454416	STARD9
TSPAN18	1.27857255607959	2.59743292788895	14.6932786840427	0.000126496666104573	0.0103105151454416	TSPAN18
WTIP	1.11309549919435	4.66505130323932	14.6388642632482	0.000130201644076648	0.0105691848873321	WTIP
